Model,Fold,Rule,threshold,ROC-AUC,PR-AUC,Sensitivity,Specificity,MCC,BACC,Accuracy,PPV,NPV,TN,FP,FN,TP
Baseline,xiangya,max threshold with Sens(dev) >= 0.85,0.486,0.7238805970149254,0.8496445883602952,0.9402985074626866,0.13333333333333333,0.12371537898307342,0.53681592039801,0.6907216494845361,0.7078651685393258,0.5,4,26,4,63
Baseline,huaxi,max threshold with Sens(dev) >= 0.85,0.468,0.5931818181818183,0.4474702133806894,1.0,0.03636363636363636,0.1170035878603409,0.5181818181818182,0.39080459770114945,0.3764705882352941,1.0,2,53,0,32
Baseline,liaoning,max threshold with Sens(dev) >= 0.85,0.491,0.640534063676823,0.5074462330774069,0.9420289855072463,0.07874015748031496,0.038516362930542114,0.5103845714937807,0.3826530612244898,0.35714285714285715,0.7142857142857143,10,117,4,65
ViT-Small,xiangya,max threshold with Sens(dev) >= 0.85,0.493,0.6965174129353234,0.8539121808812626,0.8805970149253731,0.23333333333333334,0.14564141774229888,0.5569651741293532,0.6804123711340206,0.7195121951219512,0.4666666666666667,7,23,8,59
ViT-Small,huaxi,max threshold with Sens(dev) >= 0.85,0.486,0.5869318181818182,0.42611780012587824,0.9375,0.2,0.18598224939331465,0.56875,0.47126436781609193,0.40540540540540543,0.8461538461538461,11,44,2,30
ViT-Small,liaoning,max threshold with Sens(dev) >= 0.85,0.551,0.5994522423827456,0.475844147268784,0.6521739130434783,0.4330708661417323,0.08300183989451004,0.5426223895926052,0.5102040816326531,0.38461538461538464,0.6962025316455697,55,72,24,45
ViT-Base,xiangya,max threshold with Sens(dev) >= 0.85,0.534,0.5393034825870646,0.7434925459418215,0.9104477611940298,0.0,-0.17182175674192213,0.4552238805970149,0.6288659793814433,0.6703296703296703,0.0,0,30,6,61
ViT-Base,huaxi,max threshold with Sens(dev) >= 0.85,0.527,0.5249999999999999,0.40152744993246453,1.0,0.03636363636363636,0.1170035878603409,0.5181818181818182,0.39080459770114945,0.3764705882352941,1.0,2,53,0,32
ViT-Base,liaoning,max threshold with Sens(dev) >= 0.85,0.481,0.6218190117539655,0.49685840303925616,0.8405797101449275,0.30708661417322836,0.1617880499454874,0.573833162159078,0.49489795918367346,0.3972602739726027,0.78,39,88,11,58
Ablation-EMA,xiangya,max threshold with Sens(dev) >= 0.85,0.499,0.5562189054726367,0.7499708339044681,1.0,0.0,0.0,0.5,0.6907216494845361,0.6907216494845361,0.0,0,30,0,67
Ablation-EMA,huaxi,max threshold with Sens(dev) >= 0.85,0.443,0.5295454545454545,0.38001332693548867,0.875,0.14545454545454545,0.02860387767736777,0.5102272727272728,0.41379310344827586,0.37333333333333335,0.6666666666666666,8,47,4,28
Ablation-EMA,liaoning,max threshold with Sens(dev) >= 0.85,0.473,0.5473011525733197,0.3998449927828751,0.36231884057971014,0.7874015748031497,0.1619662441181771,0.5748602076914299,0.6377551020408163,0.4807692307692308,0.6944444444444444,100,27,44,25
Ablation-Aux,xiangya,max threshold with Sens(dev) >= 0.85,0.538,0.6522388059701493,0.8501257118040941,0.746268656716418,0.16666666666666666,-0.09609439301260364,0.4564676616915423,0.5670103092783505,0.6666666666666666,0.22727272727272727,5,25,17,50
Ablation-Aux,huaxi,max threshold with Sens(dev) >= 0.85,0.467,0.5784090909090909,0.4334058478696749,0.96875,0.03636363636363636,0.013514061940433385,0.5025568181818182,0.3793103448275862,0.36904761904761907,0.6666666666666666,2,53,1,31
Ablation-Aux,liaoning,max threshold with Sens(dev) >= 0.85,0.451,0.5321237019285633,0.43777709865924386,0.782608695652174,0.23622047244094488,0.021382713047511076,0.5094145840465594,0.42857142857142855,0.3576158940397351,0.6666666666666666,30,97,15,54
Ablation-UDA,xiangya,max threshold with Sens(dev) >= 0.85,0.537,0.6980099502487563,0.8598116199410856,0.9701492537313433,0.03333333333333333,0.009297698459345137,0.5017412935323383,0.6804123711340206,0.6914893617021277,0.3333333333333333,1,29,2,65
Ablation-UDA,huaxi,max threshold with Sens(dev) >= 0.85,0.374,0.5329545454545455,0.41198786615460536,0.9375,0.07272727272727272,0.019462473604038074,0.5051136363636364,0.39080459770114945,0.37037037037037035,0.6666666666666666,4,51,2,30
Ablation-UDA,liaoning,max threshold with Sens(dev) >= 0.85,0.522,0.593974666210202,0.40889629113730713,0.927536231884058,0.09448818897637795,0.03737489033068948,0.5110122104302179,0.3877551020408163,0.3575418994413408,0.7058823529411765,12,115,5,64
