model_key,model,role,paper_table,seed,split,split_label,n,ece,brier,prob_mean,prob_std
ours,Ours (R50),final,main_cmp,42,external,Ext pooled,283,0.1468352903957502,0.24929927561431334,0.5037257497597077,0.02947698733602773
ours,Ours (R50),final,main_cmp,42,external_huaxi,Huaxi,87,0.1332850983773155,0.24931216315966828,0.5011011903313385,0.02308444627548073
ours,Ours (R50),final,main_cmp,42,external_liaoning,Liaoning,196,0.1528499214624872,0.24929355550469473,0.5048907377890178,0.03183742399419546
ours,Ours (R50),final,main_cmp,123,external,Ext pooled,283,0.13653216429396994,0.24671092042624396,0.4934226236579275,0.010256959151114816
ours,Ours (R50),final,main_cmp,123,external_huaxi,Huaxi,87,0.1327315243496292,0.24956512271393677,0.5005476163036522,0.006222911781985701
ours,Ours (R50),final,main_cmp,123,external_liaoning,Liaoning,196,0.13821917939551023,0.24544400744917733,0.4902599957220408,0.010108338595605462
ours,Ours (R50),final,main_cmp,2024,external,Ext pooled,283,0.068877326726071,0.23276673707615053,0.4257677860900286,0.009371183087992204
ours,Ours (R50),final,main_cmp,2024,external_huaxi,Huaxi,87,0.06055399021883123,0.2357487601961934,0.4283700821728542,0.004940940124136926
ours,Ours (R50),final,main_cmp,2024,external_liaoning,Liaoning,196,0.07257187640180393,0.2314430823619475,0.4246126927283345,0.010565200731045547
ours,Ours (R50),final,main_cmp,3407,external,Ext pooled,283,0.1388690845494557,0.24853196278794823,0.49575954391341326,0.00900599853274555
ours,Ours (R50),final,main_cmp,3407,external_huaxi,Huaxi,87,0.12113253926408703,0.2465546334906193,0.48894863121811,0.006844256131029056
ours,Ours (R50),final,main_cmp,3407,external_liaoning,Liaoning,196,0.14674193974660366,0.24940965974510287,0.49878275607313427,0.008160053791869001
ours,Ours (R50),final,main_cmp,114514,external,Ext pooled,283,0.11547555108373658,0.2424617813490178,0.4723660104476942,0.014006271081830399
ours,Ours (R50),final,main_cmp,114514,external_huaxi,Huaxi,87,0.1075981636156981,0.24336976287392711,0.4754142555697211,0.011594355140847135
ours,Ours (R50),final,main_cmp,114514,external_liaoning,Liaoning,196,0.11897215171127905,0.24205874547010922,0.4710129680378096,0.014752235757735084
baseline_page1,Baseline (12×page1),baseline,main_cmp,42,external,Ext pooled,283,0.1482678402228406,0.2527488425931617,0.5051582995867981,0.01870179855279051
baseline_page1,Baseline (12×page1),baseline,main_cmp,42,external_huaxi,Huaxi,87,0.2079130729724621,0.2558955991155989,0.5067636476851057,0.020272136601265825
baseline_page1,Baseline (12×page1),baseline,main_cmp,42,external_liaoning,Liaoning,196,0.1217926603798963,0.2513520680143248,0.5044457216043862,0.01791477769106321
baseline_page1,Baseline (12×page1),baseline,main_cmp,123,external,Ext pooled,283,0.16158073298080228,0.25527043783639525,0.5184711923447599,0.009841738227654538
