model,split,split_label,n_seeds,role,paper_table,ece_mean,ece_std,ece_fmt,brier_mean,brier_std,brier_fmt
Ours (R50),external,Ext pooled,5,final,main_cmp,0.12131788340979668,0.03152301498850186,0.1213±0.0315,0.24395413545073477,0.006791757744785114,0.2440±0.0068
Ours (R50),external_huaxi,Huaxi,5,final,main_cmp,0.11106026316511222,0.030116056131096462,0.1111±0.0301,0.24491008848686896,0.005702075770998913,0.2449±0.0057
Ours (R50),external_liaoning,Liaoning,5,final,main_cmp,0.12587101374353682,0.03242038921579574,0.1259±0.0324,0.2435298101062063,0.007411318421675678,0.2435±0.0074
Baseline (12×page1),external,Ext pooled,5,baseline,main_cmp,0.15990858600333388,0.016870988652560932,0.1599±0.0169,0.25496858773088393,0.0054349375722655855,0.2550±0.0054
Baseline (12×page1),external_huaxi,Huaxi,5,baseline,main_cmp,0.17837828500517483,0.04022431510235347,0.1784±0.0402,0.25632344691443365,0.007321105748025747,0.2563±0.0073
Baseline (12×page1),external_liaoning,Liaoning,5,baseline,main_cmp,0.15171030124231258,0.029997557411194628,0.1517±0.0300,0.25436719615451236,0.0048946566540229285,0.2544±0.0049
ABMIL,external,Ext pooled,5,comparison,main_cmp,0.1496136894916898,0.03193429995763433,0.1496±0.0319,0.25239628266800346,0.010066358710592898,0.2524±0.0101
ABMIL,external_huaxi,Huaxi,5,comparison,main_cmp,0.13355684225586636,0.03099566812225215,0.1336±0.0310,0.249507256019865,0.00967749266846309,0.2495±0.0097
ABMIL,external_liaoning,Liaoning,5,comparison,main_cmp,0.15985306045230552,0.030783121150085906,0.1599±0.0308,0.2536786593745618,0.010322399725141323,0.2537±0.0103
DSMIL,external,Ext pooled,5,comparison,main_cmp,0.15218540965036456,0.02298615188674573,0.1522±0.0230,0.25257934677707167,0.006936576065116461,0.2526±0.0069
DSMIL,external_huaxi,Huaxi,5,comparison,main_cmp,0.1357084770312255,0.02429692733806401,0.1357±0.0243,0.25073299518037073,0.006996763463999513,0.2507±0.0070
DSMIL,external_liaoning,Liaoning,5,comparison,main_cmp,0.15949914963269718,0.022744945844465035,0.1595±0.0227,0.2533989017726776,0.006995429819723304,0.2534±0.0070
UBIX,external,Ext pooled,5,comparison,main_cmp,0.16388647330944614,0.010963834359033524,0.1639±0.0110,0.2555113889931443,0.003998886604918237,0.2555±0.0040
UBIX,external_huaxi,Huaxi,5,comparison,main_cmp,0.1512855311234792,0.01328067357845398,0.1513±0.0133,0.2547380867618313,0.004087888924153046,0.2547±0.0041
UBIX,external_liaoning,Liaoning,5,comparison,main_cmp,0.16948066609246393,0.011170025207496107,0.1695±0.0112,0.255855315634277,0.004256983814613072,0.2559±0.0043
WMA loss,external,Ext pooled,5,comparison,main_cmp,0.023175397673259785,0.022381417487517475,0.0232±0.0224,0.22856409676947873,0.0013388753808456987,0.2286±0.0013
WMA loss,external_huaxi,Huaxi,5,comparison,main_cmp,0.026406742032917062,0.014490924988332791,0.0264±0.0145,0.23126006320302644,0.0009488058002421042,0.2313±0.0009
WMA loss,external_liaoning,Liaoning,5,comparison,main_cmp,0.03313374647072383,0.0272313991118439,0.0331±0.0272,0.2273674173851013,0.0016554685138267854,0.2274±0.0017
w/o Mean (→Max),external,Ext pooled,5,ablation,main_ablation,0.14697119566240072,0.019673049980755638,0.1470±0.0197,0.2509830510667876,0.005074078722759642,0.2510±0.0051
w/o Mean (→Max),external_huaxi,Huaxi,5,ablation,main_ablation,0.13765164750745926,0.0280962263745256,0.1377±0.0281,0.25048109890214604,0.0055550306255219605,0.2505±0.0056
w/o Mean (→Max),external_liaoning,Liaoning,5,ablation,main_ablation,0.1531543067219306,0.018397285840627373,0.1532±0.0184,0.2512058567327206,0.004898589840235988,0.2512±0.0049
w/o EMA,external,Ext pooled,5,ablation,main_ablation,0.1227751146778201,0.01344479427041995,0.1228±0.0134,0.2436994732267126,0.0041296311067024315,0.2437±0.0041
w/o EMA,external_huaxi,Huaxi,5,ablation,main_ablation,0.11163472437310493,0.01672697130141291,0.1116±0.0167,0.24430796923034218,0.0035471797839212588,0.2443±0.0035
w/o EMA,external_liaoning,Liaoning,5,ablation,main_ablation,0.1277200895608688,0.012706238667489949,0.1277±0.0127,0.243429378924601,0.00450287185795404,0.2434±0.0045
w/o UWA (equal),external,Ext pooled,5,ablation,main_ablation,0.1335836847974218,0.020039560205867207,0.1336±0.0200,0.24744755344628738,0.004617909665445593,0.2474±0.0046
w/o UWA (equal),external_huaxi,Huaxi,5,ablation,main_ablation,0.11857080624021332,0.023570637452881515,0.1186±0.0236,0.24641770024947868,0.004806863207866447,0.2464±0.0048
w/o UWA (equal),external_liaoning,Liaoning,5,ablation,main_ablation,0.14024756638979424,0.01868306779136806,0.1402±0.0187,0.24790468455498954,0.004610483660006425,0.2479±0.0046
w/o FrameAux,external,Ext pooled,5,ablation,main_ablation,0.1665964922509008,0.021299807734944397,0.1666±0.0213,0.25759342160346704,0.007274439173162134,0.2576±0.0073
w/o FrameAux,external_huaxi,Huaxi,5,ablation,main_ablation,0.15393330146526465,0.021247528930709143,0.1539±0.0212,0.255844162332913,0.006615581740133139,0.2558±0.0066
w/o FrameAux,external_liaoning,Liaoning,5,ablation,main_ablation,0.17221740286569207,0.021738103442321632,0.1722±0.0217,0.25836987867110367,0.007691237562465909,0.2584±0.0077
