model,split,split_label,n_seeds,role,paper_table,auc_mean,auc_std,auc_fmt,pr_auc_mean,pr_auc_std,pr_auc_fmt,sensitivity_mean,sensitivity_std,sensitivity_fmt,specificity_mean,specificity_std,specificity_fmt,ppv_mean,ppv_std,ppv_fmt,npv_mean,npv_std,npv_fmt,youden_mean,youden_std,youden_fmt,adjusted_bal_acc_mean,adjusted_bal_acc_std,adjusted_bal_acc_fmt,adjusted_f1_mean,adjusted_f1_std,adjusted_f1_fmt,threshold_mean,threshold_std,threshold_fmt
Ours (R50),val,Val (Xiangya),5,final,main_cmp,0.7897435897435898,0.09001789580277927,0.7897±0.0900,0.9082116736165318,0.039220474479975405,0.9082±0.0392,0.8307692307692308,0.03440104580768905,0.8308±0.0344,0.7666666666666666,0.14907119849998599,0.7667±0.1491,0.8910256410256411,0.06814196033804262,0.8910±0.0681,0.6761904761904762,0.02129588549999802,0.6762±0.0213,0.5974358974358974,0.12013032589869209,0.5974±0.1201,0.7987179487179488,0.060065162949346045,0.7987±0.0601,0.8576053511705686,0.016108767780742165,0.8576±0.0161,0.4733134150505066,0.02513558924958965,0.4733±0.0251
Ours (R50),external,Ext pooled,5,final,main_cmp,0.563899466869764,0.03398965331816387,0.5639±0.0340,0.42140161030113843,0.024958241031592495,0.4214±0.0250,0.4158415841584159,0.1309777876764649,0.4158±0.1310,0.7252747252747253,0.10227753004937519,0.7253±0.1023,0.46088822287885184,0.0243887710644629,0.4609±0.0244,0.6930027613219739,0.017454460259083666,0.6930±0.0175,0.14111630943314113,0.043407141913471246,0.1411±0.0434,0.5705581547165706,0.021703570956735623,0.5706±0.0217,0.4246694189613466,0.08685467533308362,0.4247±0.0869,0.4849720776081085,0.034491989922442144,0.4850±0.0345
Ours (R50),external_huaxi,Huaxi,5,final,main_cmp,0.5470454545454546,0.014521464591572626,0.5470±0.0145,0.4278504398593185,0.015968620438521455,0.4279±0.0160,0.59375,0.18619336387207788,0.5938±0.1862,0.5672727272727273,0.19429890919843706,0.5673±0.1943,0.4576152557582548,0.05387211887620724,0.4576±0.0539,0.7159361646756606,0.038931899760445574,0.7159±0.0389,0.16102272727272732,0.03738057775068768,0.1610±0.0374,0.5805113636363636,0.01869028887534384,0.5805±0.0187,0.4998929606206744,0.04958226950786807,0.4999±0.0496,0.4764805942773819,0.02850954275177325,0.4765±0.0285
Ours (R50),external_liaoning,Liaoning,5,final,main_cmp,0.5762638365856442,0.04026153690215936,0.5763±0.0403,0.42760288042318273,0.03306544467385269,0.4276±0.0331,0.44927536231884063,0.1122603868465918,0.4493±0.1123,0.7275590551181101,0.08250826392081721,0.7276±0.0825,0.4747170071308002,0.0326573864058426,0.4747±0.0327,0.7102444684141541,0.02170277143103717,0.7102±0.0217,0.17683441743695077,0.05508482220787674,0.1768±0.0551,0.5884172087184754,0.02754241110393837,0.5884±0.0275,0.45448409233427184,0.06929503709382294,0.4545±0.0693,0.4846114099025726,0.033756765238069295,0.4846±0.0338
Baseline (12×page1),val,Val (Xiangya),5,baseline,main_cmp,0.7282051282051283,0.05317036244443001,0.7282±0.0532,0.8808315645086303,0.01911295157497959,0.8808±0.0191,0.676923076923077,0.18365132902020495,0.6769±0.1837,0.8333333333333334,0.2041241452319315,0.8333±0.2041,0.9218181818181819,0.0832203090279695,0.9218±0.0832,0.5784188034188034,0.11395521713125967,0.5784±0.1140,0.5102564102564102,0.0698688543253267,0.5103±0.0699,0.7551282051282051,0.03493442716266335,0.7551±0.0349,0.760932766699357,0.09409208532227033,0.7609±0.0941,0.5042329668998718,0.014866459495415301,0.5042±0.0149
Baseline (12×page1),external,Ext pooled,5,baseline,main_cmp,0.50995539114351,0.027751998500566408,0.5100±0.0278,0.37406030731990575,0.020373046516851154,0.3741±0.0204,0.6237623762376239,0.2418153414221745,0.6238±0.2418,0.45274725274725275,0.24933797140149108,0.4527±0.2493,0.3915440925851776,0.016154959751670524,0.3915±0.0162,0.6998725043805782,0.033612124372405947,0.6999±0.0336,0.07650962898487652,0.039842156585262474,0.0765±0.0398,0.5382548144924383,0.019921078292631237,0.5383±0.0199,0.4635883561516779,0.07903928873452806,0.4636±0.0790,0.5090885698795319,0.025089552720981373,0.5091±0.0251
Baseline (12×page1),external_huaxi,Huaxi,5,baseline,main_cmp,0.47112299708851235,0.0645027289676287,0.4711±0.0645,0.33819016674145075,0.06092455919181148,0.3382±0.0609,0.8406593406593407,0.19890565230657092,0.8407±0.1989,0.2535533347871571,0.22220014847616543,0.2536±0.2222,0.3711926975291268,0.056767094176091486,0.3712±0.0568,0.8244897959183675,0.11394811653178473,0.8245±0.1139,0.09421267544649772,0.05546168736431284,0.0942±0.0555,0.5471063377232489,0.02773084368215642,0.5471±0.0277,0.5042437762182953,0.060674669011975595,0.5042±0.0607,0.49758983850479127,0.03681839290717792,0.4976±0.0368
Baseline (12×page1),external_liaoning,Liaoning,5,baseline,main_cmp,0.5257987898977838,0.04669829892922742,0.5258±0.0467,0.4039307067164494,0.039587845772698346,0.4039±0.0396,0.5013350405463081,0.2038125165744848,0.5013±0.2038,0.617881770754498,0.1602198785031037,0.6179±0.1602,0.4327447853994245,0.013218173263374908,0.4327±0.0132,0.6912476017866623,0.04096210321313742,0.6912±0.0410,0.11921681130080622,0.056298594363625824,0.1192±0.0563,0.5596084056504032,0.028149297181812912,0.5596±0.0281,0.4459765980479684,0.10374267835435476,0.4460±0.1037,0.5193255245685577,0.01431387114104942,0.5193±0.0143
ABMIL,val,Val (Xiangya),5,comparison,main_cmp,0.7282051282051283,0.021066252211737142,0.7282±0.0211,0.8830271730730173,0.012691796294431396,0.8830±0.0127,0.7076923076923076,0.14796449278208726,0.7077±0.1480,0.8333333333333334,0.11785113019775793,0.8333±0.1179,0.912867132867133,0.0553102205725121,0.9129±0.0553,0.5867521367521368,0.0805664652885824,0.5868±0.0806,0.5410256410256411,0.06108271410036716,0.5410±0.0611,0.7705128205128204,0.03054135705018358,0.7705±0.0305,0.7854016311682216,0.089379732477111,0.7854±0.0894,0.482438737154007,0.04406665701575536,0.4824±0.0441
ABMIL,external,Ext pooled,5,comparison,main_cmp,0.5263409857469263,0.013636085990068875,0.5263±0.0136,0.3937310614858202,0.02830657820584532,0.3937±0.0283,0.4455445544554456,0.09548169070290055,0.4455±0.0955,0.6549450549450551,0.09923630617485253,0.6549±0.0992,0.42303810794376834,0.030336360315337704,0.4230±0.0303,0.6809401085643377,0.008409367109216205,0.6809±0.0084,0.10048960940050056,0.01666850134069511,0.1005±0.0167,0.5502448047002503,0.008334250670347555,0.5502±0.0083,0.42691377262725394,0.03951470283360564,0.4269±0.0395,0.517556881904602,0.030823281033139416,0.5176±0.0308
