challenger,n_pairs,mean_delta_ours_minus_chall,wins_ours,losses_ours,wilcoxon_onesided_p,sig
Baseline (12×page1),5,0.05394407572625394,5,0,0.03125,*
ABMIL,5,0.03755848112283753,4,1,0.0625,ns
DSMIL,5,0.02575345446632571,3,2,0.21875,ns
UBIX,5,0.01814818844521815,4,1,0.21875,ns
WMA loss,5,0.014775323686214748,3,2,0.3125,ns
w/o Mean (→Max),5,0.01979109998911981,4,1,0.21875,ns
w/o EMA,5,0.01675552170601675,4,1,0.21875,ns
w/o UWA (equal),5,0.028821673376128797,3,2,0.3125,ns
w/o FrameAux,5,0.04492438254814488,4,1,0.0625,ns
Ours-ConvNeXt-T,5,0.04269393972364268,3,2,0.15625,ns
