backbone,hospital,hospital_cn,seed,dev_roc_auc,dev_pr_auc,dev_balanced_acc,ext_roc_auc,ext_pr_auc,ext_balanced_acc,val_auc_best_model,max_pos_f1_ref,max_mcc_ref,log_rel_path
vit_base_patch16_224,huaxi,华西,42,0.7606,0.7545,0.6834,0.5443,0.4336,0.5136,0.5443,0.5378,0.0564,outputs_comparison_vit_base/huaxi/seed_42/logs/train_console.log
vit_base_patch16_224,huaxi,华西,123,0.6073,0.6110,0.5000,0.5159,0.4308,0.5000,0.5159,0.5378,0.0000,outputs_comparison_vit_base/huaxi/seed_123/logs/train_console.log
vit_base_patch16_224,huaxi,华西,2024,0.6775,0.6508,0.5303,0.6165,0.4733,0.5065,0.6165,0.5378,0.1477,outputs_comparison_vit_base/huaxi/seed_2024/logs/train_console.log
vit_base_patch16_224,huaxi,华西,3407,0.7287,0.7121,0.5326,0.5886,0.4245,0.5142,0.5886,0.5565,0.1674,outputs_comparison_vit_base/huaxi/seed_3407/logs/train_console.log
vit_base_patch16_224,huaxi,华西,114514,0.5982,0.5839,0.5000,0.5290,0.3961,0.5000,0.5290,0.5378,0.0000,outputs_comparison_vit_base/huaxi/seed_114514/logs/train_console.log
vit_base_patch16_224,liaoning,辽宁,42,0.6543,0.5436,0.5000,0.5567,0.4290,0.5000,0.5567,0.5208,0.0049,outputs_comparison_vit_base/liaoning/seed_42/logs/train_console.log
vit_base_patch16_224,liaoning,辽宁,123,0.7245,0.7345,0.5000,0.5781,0.4290,0.5000,0.5781,0.5208,0.0000,outputs_comparison_vit_base/liaoning/seed_123/logs/train_console.log
vit_base_patch16_224,liaoning,辽宁,2024,0.4998,0.5251,0.5000,0.6053,0.4624,0.5000,0.6053,0.5208,0.0000,outputs_comparison_vit_base/liaoning/seed_2024/logs/train_console.log
vit_base_patch16_224,liaoning,辽宁,3407,0.6767,0.6454,0.5000,0.6017,0.4478,0.5000,0.6017,0.5208,0.1689,outputs_comparison_vit_base/liaoning/seed_3407/logs/train_console.log
vit_base_patch16_224,liaoning,辽宁,114514,0.5848,0.5596,0.5000,0.5200,0.3802,0.5000,0.5200,0.5208,0.0000,outputs_comparison_vit_base/liaoning/seed_114514/logs/train_console.log
vit_base_patch16_224,xiangya,湘雅,42,0.5540,0.5227,0.5000,0.5980,0.7345,0.5000,0.5980,0.8171,0.0000,outputs_comparison_vit_base/xiangya/seed_42/logs/train_console.log
vit_base_patch16_224,xiangya,湘雅,123,0.5416,0.5891,0.5000,0.5697,0.7536,0.5000,0.5697,0.8171,0.0000,outputs_comparison_vit_base/xiangya/seed_123/logs/train_console.log
vit_base_patch16_224,xiangya,湘雅,2024,0.5073,0.5336,0.5000,0.4791,0.7271,0.5000,0.4791,0.8171,0.0000,outputs_comparison_vit_base/xiangya/seed_2024/logs/train_console.log
vit_base_patch16_224,xiangya,湘雅,3407,0.6136,0.6474,0.5000,0.6527,0.8218,0.5000,0.6527,0.8171,0.0134,outputs_comparison_vit_base/xiangya/seed_3407/logs/train_console.log
vit_base_patch16_224,xiangya,湘雅,114514,0.5493,0.5995,0.5000,0.5567,0.7145,0.5000,0.5567,0.8171,0.0000,outputs_comparison_vit_base/xiangya/seed_114514/logs/train_console.log
vit_small_patch16_224,huaxi,华西,42,0.7915,0.8180,0.7084,0.5540,0.4919,0.5335,0.5540,0.5657,0.1901,outputs_comparison_vit_small/huaxi/seed_42/logs/train_console.log
