Hospital,Model,N,External AUC,mean
huaxi,ResNet50 Baseline,5,0.5967±0.0242,0.59668
huaxi,Swin-Tiny,5,0.6047±0.0239,0.60466
huaxi,Swin-Small,5,0.6209±0.0292,0.6209
huaxi,ConvNeXt-Small,5,0.5748±0.0260,0.5747599999999999
huaxi,ViT-Small,5,0.5698±0.0224,0.5697800000000001
huaxi,ResNet18,5,0.5800±0.0262,0.58
huaxi,OptiGenesis Full,5,0.6200±0.0221,0.6199999999999999
liaoning,ResNet50 Baseline,5,0.6371±0.0279,0.63712
liaoning,Swin-Tiny,5,0.6341±0.0336,0.6340600000000001
liaoning,Swin-Small,5,0.5971±0.0210,0.5970799999999999
liaoning,ConvNeXt-Small,5,0.6493±0.0178,0.64926
liaoning,ViT-Small,5,0.6379±0.0314,0.6379
liaoning,ResNet18,5,0.5750±0.0493,0.57504
liaoning,OptiGenesis Full,5,0.6163±0.0265,0.6163000000000001
xiangya,ResNet50 Baseline,5,0.6211±0.0494,0.6211
xiangya,Swin-Tiny,5,0.6438±0.0586,0.64376
xiangya,Swin-Small,5,0.6605±0.0656,0.6605
xiangya,ConvNeXt-Small,5,0.6518±0.1039,0.65176
xiangya,ViT-Small,5,0.7067±0.0753,0.7066800000000001
xiangya,ResNet18,5,0.6274±0.0655,0.6273799999999999
xiangya,OptiGenesis Full,5,0.6997±0.0564,0.6997
