model,hospital,seed,ext_roc,ext_pr,ext_bacc
ConvNeXt-Small,huaxi,42,0.5889,0.4348,0.5
ConvNeXt-Small,huaxi,123,0.5568,0.452,0.5
ConvNeXt-Small,huaxi,2024,0.6057,0.4509,0.5
ConvNeXt-Small,huaxi,3407,0.5818,0.4688,0.5
ConvNeXt-Small,huaxi,114514,0.5406,0.4253,0.5
ConvNeXt-Small,liaoning,42,0.625,0.4515,0.5
ConvNeXt-Small,liaoning,123,0.6441,0.4664,0.5
ConvNeXt-Small,liaoning,2024,0.6723,0.4907,0.5
ConvNeXt-Small,liaoning,3407,0.6595,0.5049,0.5
ConvNeXt-Small,liaoning,114514,0.6454,0.4675,0.5
ConvNeXt-Small,xiangya,42,0.7147,0.8382,0.5
ConvNeXt-Small,xiangya,123,0.6632,0.8072,0.5
ConvNeXt-Small,xiangya,2024,0.6682,0.808,0.5
ConvNeXt-Small,xiangya,3407,0.4746,0.7061,0.5
ConvNeXt-Small,xiangya,114514,0.7381,0.8546,0.5
ResNet18,huaxi,42,0.5886,0.4742,0.5077
ResNet18,huaxi,123,0.554,0.4786,0.5026
ResNet18,huaxi,2024,0.6097,0.464,0.5091
ResNet18,huaxi,3407,0.5511,0.4767,0.4935
ResNet18,huaxi,114514,0.5966,0.4348,0.5
ResNet18,liaoning,42,0.5929,0.4394,0.5783
ResNet18,liaoning,123,0.6235,0.4683,0.5995
ResNet18,liaoning,2024,0.5176,0.394,0.5035
ResNet18,liaoning,3407,0.6136,0.4832,0.5814
ResNet18,liaoning,114514,0.5276,0.3691,0.5
ResNet18,xiangya,42,0.5114,0.7187,0.4925
ResNet18,xiangya,123,0.6468,0.7942,0.5
ResNet18,xiangya,2024,0.6488,0.7765,0.5
ResNet18,xiangya,3407,0.6612,0.802,0.4776
ResNet18,xiangya,114514,0.6687,0.8275,0.4851
Swin-Small,huaxi,42,0.6528,0.5295,0.5233
Swin-Small,huaxi,123,0.5875,0.4649,0.5
Swin-Small,huaxi,2024,0.6142,0.4295,0.5324
Swin-Small,huaxi,3407,0.6006,0.4432,0.5116
Swin-Small,huaxi,114514,0.6494,0.5354,0.5
Swin-Small,liaoning,42,0.5793,0.4435,0.5139
Swin-Small,liaoning,123,0.6189,0.4646,0.5556
Swin-Small,liaoning,2024,0.5848,0.435,0.5322
Swin-Small,liaoning,3407,0.621,0.4719,0.531
Swin-Small,liaoning,114514,0.5814,0.4199,0.5019
Swin-Small,xiangya,42,0.7323,0.8805,0.5075
Swin-Small,xiangya,123,0.6234,0.7849,0.5
Swin-Small,xiangya,2024,0.7299,0.8521,0.5
Swin-Small,xiangya,3407,0.6234,0.8159,0.5075
Swin-Small,xiangya,114514,0.5935,0.779,0.5866
Swin-Tiny,huaxi,42,0.6227,0.4812,0.5713
Swin-Tiny,huaxi,123,0.6051,0.5106,0.5
Swin-Tiny,huaxi,2024,0.579,0.4385,0.5426
Swin-Tiny,huaxi,3407,0.583,0.4496,0.5
Swin-Tiny,huaxi,114514,0.6335,0.5793,0.5
Swin-Tiny,liaoning,42,0.6298,0.454,0.5653
Swin-Tiny,liaoning,123,0.6723,0.5175,0.5
Swin-Tiny,liaoning,2024,0.6594,0.4561,0.5
Swin-Tiny,liaoning,3407,0.6222,0.4167,0.5
Swin-Tiny,liaoning,114514,0.5866,0.4321,0.5
Swin-Tiny,xiangya,42,0.6905,0.8246,0.5
Swin-Tiny,xiangya,123,0.6761,0.8337,0.5
Swin-Tiny,xiangya,2024,0.6343,0.7979,0.5167
Swin-Tiny,xiangya,3407,0.5458,0.751,0.5
Swin-Tiny,xiangya,114514,0.6721,0.8395,0.4925
ViT-Small,huaxi,42,0.5966,0.4344,0.5375
ViT-Small,huaxi,123,0.5392,0.4031,0.4909
ViT-Small,huaxi,2024,0.5784,0.4348,0.5142
ViT-Small,huaxi,3407,0.5557,0.3998,0.5707
ViT-Small,huaxi,114514,0.579,0.4238,0.504
ViT-Small,liaoning,42,0.637,0.4931,0.5615
ViT-Small,liaoning,123,0.6886,0.5027,0.5
ViT-Small,liaoning,2024,0.6376,0.4864,0.5563
ViT-Small,liaoning,3407,0.6046,0.44,0.5832
ViT-Small,liaoning,114514,0.6217,0.4388,0.5
ViT-Small,xiangya,42,0.6697,0.8499,0.5
ViT-Small,xiangya,123,0.6214,0.7744,0.5
ViT-Small,xiangya,2024,0.7279,0.8883,0.5
ViT-Small,xiangya,3407,0.8224,0.9237,0.5
ViT-Small,xiangya,114514,0.692,0.8226,0.5
