champion,challenger,seed,p,auc_champion,auc_challenger
ViT-S Full,ViT-S plain,42,0.29563321223088745,0.5900497512437811,0.6696517412935323
ViT-S Full,Full@ResNet50,42,0.17619362431749308,0.5900497512437811,0.46567164179104475
Full@ResNet50,ViT-S plain,42,0.00027015931415036454,0.7263681592039801,0.41243781094527365
ViT-S Full,ViT-S plain,123,0.009262204936011924,0.7044776119402985,0.4651741293532338
ViT-S Full,Full@ResNet50,123,0.063361902941121,0.7044776119402985,0.5258706467661691
Full@ResNet50,ViT-S plain,123,0.07505517815013898,0.7169154228855721,0.5825870646766169
ViT-S Full,ViT-S plain,2024,0.05861724959676963,0.7089552238805971,0.5296019900497513
ViT-S Full,Full@ResNet50,2024,0.06467639197107773,0.7089552238805971,0.5492537313432836
Full@ResNet50,ViT-S plain,2024,0.658835878384368,0.7557213930348259,0.7278606965174129
ViT-S Full,ViT-S plain,3407,0.6831743888754099,0.5149253731343284,0.47313432835820896
ViT-S Full,Full@ResNet50,3407,0.2967090902875985,0.5149253731343284,0.6154228855721393
Full@ResNet50,ViT-S plain,3407,0.26903757195794054,0.6074626865671642,0.5099502487562189
ViT-S Full,ViT-S plain,114514,0.06788994601335631,0.6079601990049751,0.4407960199004975
ViT-S Full,Full@ResNet50,114514,0.7861651121908422,0.6079601990049751,0.5840796019900497
Full@ResNet50,ViT-S plain,114514,8.495367964428144e-05,0.6920398009950248,0.37711442786069654
