hospital,seed,auc_native,auc_corrected,y_mismatch
huaxi,42,0.5630681818181819,0.6011363636363636,44
huaxi,123,0.5392045454545454,0.5278409090909091,38
huaxi,2024,0.5789772727272726,0.5789772727272726,0
huaxi,3407,0.5767045454545455,0.5414772727272726,44
huaxi,114514,0.5625,0.42272727272727273,46
liaoning,42,0.6170261326029899,0.5073604929818555,92
liaoning,123,0.6085815360036517,0.47449503594659365,76
liaoning,2024,0.6060709802579025,0.4799726121191373,98
liaoning,3407,0.6264977747346798,0.5528928449161246,92
liaoning,114514,0.6073262581307772,0.5296131461828141,92
xiangya,42,0.5900497512437811,0.5855721393034826,44
xiangya,123,0.7044776119402986,0.4890547263681592,42
xiangya,2024,0.708955223880597,0.5283582089552239,40
xiangya,3407,0.5149253731343284,0.5084577114427861,42
xiangya,114514,0.6079601990049751,0.49004975124378114,38
