hospital,seed,model_plain,ext_roc_plain,ext_pr_plain,ext_bacc_plain,model_full,ext_roc_full,ext_pr_full,ext_bacc_full,delta_full_minus_plain
huaxi,42,ViT-Small (plain),0.5966,0.4344,0.5375,ViT-Small Full,0.5631,0.4903,0.5,-0.033499999999999974
huaxi,123,ViT-Small (plain),0.5392,0.4031,0.4909,ViT-Small Full,0.5392,0.392,0.5196,0.0
huaxi,2024,ViT-Small (plain),0.5784,0.4348,0.5142,ViT-Small Full,0.579,0.4624,0.5051,0.0005999999999999339
huaxi,3407,ViT-Small (plain),0.5557,0.3998,0.5707,ViT-Small Full,0.5767,0.4314,0.5,0.02100000000000002
huaxi,114514,ViT-Small (plain),0.579,0.4238,0.504,ViT-Small Full,0.5625,0.4173,0.5318,-0.01649999999999996
liaoning,42,ViT-Small (plain),0.637,0.4931,0.5615,ViT-Small Full,0.617,0.4898,0.5,-0.020000000000000018
liaoning,123,ViT-Small (plain),0.6886,0.5027,0.5,ViT-Small Full,0.6086,0.4841,0.5,-0.07999999999999996
liaoning,2024,ViT-Small (plain),0.6376,0.4864,0.5563,ViT-Small Full,0.6061,0.4878,0.5,-0.03149999999999997
liaoning,3407,ViT-Small (plain),0.6046,0.44,0.5832,ViT-Small Full,0.6265,0.4684,0.5,0.02189999999999992
liaoning,114514,ViT-Small (plain),0.6217,0.4388,0.5,ViT-Small Full,0.6073,0.4486,0.5,-0.01440000000000008
xiangya,42,ViT-Small (plain),0.6697,0.8499,0.5,ViT-Small Full,0.59,0.778,0.5,-0.0797
xiangya,123,ViT-Small (plain),0.6214,0.7744,0.5,ViT-Small Full,0.7045,0.8314,0.5,0.08310000000000006
xiangya,2024,ViT-Small (plain),0.7279,0.8883,0.5,ViT-Small Full,0.709,0.8601,0.5,-0.018900000000000028
xiangya,3407,ViT-Small (plain),0.8224,0.9237,0.5,ViT-Small Full,0.5149,0.6928,0.5,-0.3075
xiangya,114514,ViT-Small (plain),0.692,0.8226,0.5,ViT-Small Full,0.608,0.7776,0.5,-0.08399999999999996
