hospital,seed,best_epoch,trained_epochs,dev_roc_auc,dev_pr_auc,dev_balanced_accuracy,external_roc_auc,external_pr_auc,external_balanced_accuracy,best_auc,best_f1_positive,best_mcc
huaxi,42,20,30,0.8453,0.8257,0.7715,0.6114,0.4828,0.5102,0.6114,0.5470,0.1522
huaxi,123,2,12,0.7694,0.7985,0.6962,0.5597,0.4462,0.5000,0.5597,0.5378,0.0484
huaxi,2024,1,11,0.7114,0.7654,0.6583,0.5545,0.4395,0.5182,0.5545,0.5470,0.1171
huaxi,3407,1,11,0.7409,0.7100,0.5000,0.5812,0.4698,0.5000,0.5812,0.5378,0.1414
huaxi,114514,1,11,0.7001,0.7606,0.5000,0.5676,0.4479,0.5000,0.5676,0.5439,0.0859
liaoning,42,12,22,0.7567,0.7250,0.5000,0.6425,0.4884,0.5000,0.6425,0.5208,0.1506
liaoning,123,10,20,0.7830,0.8084,0.7186,0.6032,0.4429,0.5072,0.6032,0.5346,0.1465
liaoning,2024,1,11,0.6884,0.7662,0.5742,0.5750,0.3904,0.5631,0.5750,0.5208,0.1258
liaoning,3407,2,12,0.7073,0.7463,0.6240,0.5127,0.3501,0.5083,0.5127,0.5208,0.0303
liaoning,114514,1,11,0.6746,0.7137,0.5106,0.5282,0.3943,0.5349,0.5282,0.5000,0.0707
xiangya,42,3,13,0.6580,0.7255,0.5000,0.6627,0.8117,0.5000,0.6627,0.8171,0.0000
xiangya,123,12,22,0.6269,0.6537,0.5000,0.6211,0.8418,0.5000,0.6211,0.8171,0.2111
xiangya,2024,2,12,0.6058,0.5619,0.5000,0.7159,0.8791,0.5000,0.7159,0.8171,0.1772
xiangya,3407,18,28,0.7675,0.7940,0.6406,0.6856,0.8442,0.5662,0.6856,0.8221,0.1796
xiangya,114514,6,16,0.5979,0.6227,0.5000,0.6289,0.8176,0.5000,0.6289,0.8171,0.0000
