# 表A-明细（N=15）：主目标=约登指数(Youden)，剔除 t=0/1 及 Sens 或 Spec 为 0 的退化解
hospital,seed,original_auc,default_bal_acc,optimal_threshold,adjusted_bal_acc,adjusted_f1,sensitivity,specificity
huaxi,42,0.57784091,0.50909091,0.55669835,0.59829545,0.54320988,0.68750000,0.50909091
huaxi,123,0.59431818,0.50000000,0.57046810,0.61363636,0.50793651,0.50000000,0.72727273
huaxi,2024,0.60340909,0.50000000,0.52471778,0.62954545,0.57831325,0.75000000,0.50909091
huaxi,3407,0.52443182,0.50000000,0.56342933,0.55795455,0.50000000,0.62500000,0.49090909
huaxi,114514,0.55227273,0.56676136,0.51033756,0.57301136,0.32558140,0.21875000,0.92727273
liaoning,42,0.61748260,0.49606299,0.48700482,0.60122104,0.54450262,0.75362319,0.44881890
liaoning,123,0.54011183,0.52984138,0.49356082,0.55585987,0.50515464,0.71014493,0.40157480
liaoning,2024,0.57640078,0.50000000,0.67493606,0.59534406,0.46153846,0.43478261,0.75590551
liaoning,3407,0.56544562,0.56715737,0.49980734,0.57440374,0.45390071,0.46376812,0.68503937
liaoning,114514,0.56601620,0.50000000,0.42658766,0.59100765,0.55855856,0.89855072,0.28346457
xiangya,42,0.74228856,0.50000000,0.62462014,0.74676617,0.74336283,0.62686567,0.86666667
xiangya,123,0.63781095,0.50000000,0.55360270,0.66393035,0.77862595,0.76119403,0.56666667
xiangya,2024,0.65422886,0.50000000,0.55459410,0.67736318,0.55319149,0.38805970,0.96666667
xiangya,3407,0.55771144,0.50000000,0.53000277,0.63706468,0.62962963,0.50746269,0.76666667
xiangya,114514,0.62388060,0.50000000,0.57179534,0.66791045,0.81159420,0.83582090,0.50000000
# 表B-按医院汇总（每中心 5 个 seed，Mean±Std）
hospital,auc_mean_std,optimal_threshold_mean,adjusted_bal_acc_mean_std,adjusted_f1_mean_std
huaxi,0.5705±0.0322,0.54513022,0.5945±0.0292,0.4910±0.0976
liaoning,0.5731±0.0282,0.51637934,0.5836±0.0184,0.5047±0.0472
xiangya,0.6432±0.0664,0.56692301,0.6786±0.0409,0.7033±0.1084
