model,wma,ema,aux,hospital,seed,dev_roc,dev_pr,ext_roc,ext_pr,ext_bacc
baseline,0,0,0,huaxi,42,0.7219,0.73,0.5761,0.4591,0.5
baseline,0,0,0,huaxi,123,0.7914,0.7896,0.5864,0.4821,0.5
baseline,0,0,0,huaxi,2024,0.8172,0.8412,0.617,0.5266,0.5026
baseline,0,0,0,huaxi,3407,0.7336,0.7848,0.6278,0.5011,0.5
baseline,0,0,0,huaxi,114514,0.7712,0.7728,0.5761,0.4203,0.4935
baseline,0,0,0,liaoning,42,0.8222,0.8317,0.6709,0.5026,0.6138
baseline,0,0,0,liaoning,123,0.8195,0.8436,0.6227,0.4712,0.5629
baseline,0,0,0,liaoning,2024,0.7273,0.757,0.647,0.4961,0.59
baseline,0,0,0,liaoning,3407,0.7848,0.7872,0.6474,0.5032,0.61
baseline,0,0,0,liaoning,114514,0.7866,0.7963,0.5976,0.4239,0.5776
baseline,0,0,0,xiangya,42,0.7115,0.698,0.6289,0.7746,0.5
baseline,0,0,0,xiangya,123,0.6962,0.679,0.699,0.8143,0.5
baseline,0,0,0,xiangya,2024,0.6846,0.6864,0.5816,0.7668,0.5092
baseline,0,0,0,xiangya,3407,0.7204,0.7395,0.5756,0.7417,0.5
baseline,0,0,0,xiangya,114514,0.7153,0.7034,0.6204,0.7864,0.5
full,1,1,1,huaxi,42,0.7265,0.7335,0.5955,0.4438,0.6179
full,1,1,1,huaxi,123,0.6853,0.6367,0.5966,0.438,0.5645
full,1,1,1,huaxi,2024,0.723,0.764,0.6386,0.5413,0.5327
full,1,1,1,huaxi,3407,0.6009,0.6625,0.6381,0.5304,0.5
full,1,1,1,huaxi,114514,0.7146,0.7119,0.6312,0.4745,0.6099
full,1,1,1,liaoning,42,0.5609,0.4719,0.6219,0.468,0.5071
full,1,1,1,liaoning,123,0.7017,0.7882,0.6404,0.4615,0.5072
full,1,1,1,liaoning,2024,0.517,0.5026,0.5928,0.4253,0.5
full,1,1,1,liaoning,3407,0.6932,0.7204,0.6417,0.4402,0.6068
full,1,1,1,liaoning,114514,0.633,0.6576,0.5847,0.4386,0.5153
full,1,1,1,xiangya,42,0.5236,0.5237,0.7264,0.8469,0.5
full,1,1,1,xiangya,123,0.5325,0.4868,0.7169,0.8739,0.5
full,1,1,1,xiangya,2024,0.4928,0.4808,0.7557,0.8364,0.5
full,1,1,1,xiangya,3407,0.5339,0.537,0.6075,0.764,0.5
full,1,1,1,xiangya,114514,0.4938,0.4846,0.692,0.7815,0.6092
no_aux,1,1,0,huaxi,42,0.7003,0.717,0.629,0.4651,0.5
no_aux,1,1,0,huaxi,123,0.6631,0.6125,0.583,0.439,0.504
no_aux,1,1,0,huaxi,2024,0.6567,0.6404,0.6324,0.4784,0.4949
no_aux,1,1,0,huaxi,3407,0.7529,0.7886,0.6636,0.5615,0.5
no_aux,1,1,0,huaxi,114514,0.7212,0.7326,0.6153,0.4523,0.5
no_aux,1,1,0,liaoning,42,0.7639,0.7662,0.6195,0.4286,0.5
no_aux,1,1,0,liaoning,123,0.7955,0.8568,0.6433,0.4497,0.5821
no_aux,1,1,0,liaoning,2024,0.5096,0.5544,0.6833,0.5219,0.5
no_aux,1,1,0,liaoning,3407,0.7047,0.7057,0.6287,0.4415,0.5722
no_aux,1,1,0,liaoning,114514,0.7051,0.7288,0.5929,0.4143,0.5
no_aux,1,1,0,xiangya,42,0.4436,0.4553,0.7174,0.8298,0.4925
