model_key,model,hospital,seed,dev_roc,dev_pr,dev_bacc,ext_roc,ext_pr,ext_bacc
baseline,baseline,huaxi,42,0.7219,0.73,0.5072,0.5761,0.4591,0.5
baseline,baseline,huaxi,123,0.7914,0.7896,0.6784,0.5864,0.4821,0.5
baseline,baseline,huaxi,2024,0.8172,0.8412,0.6904,0.617,0.5266,0.5026
baseline,baseline,huaxi,3407,0.7336,0.7848,0.5477,0.6278,0.5011,0.5
baseline,baseline,huaxi,114514,0.7712,0.7728,0.6776,0.5761,0.4203,0.4935
baseline,baseline,liaoning,42,0.8222,0.8317,0.7486,0.6709,0.5026,0.6138
baseline,baseline,liaoning,123,0.8195,0.8436,0.7009,0.6227,0.4712,0.5629
baseline,baseline,liaoning,2024,0.7273,0.757,0.6948,0.647,0.4961,0.59
baseline,baseline,liaoning,3407,0.7848,0.7872,0.7482,0.6474,0.5032,0.61
baseline,baseline,liaoning,114514,0.7866,0.7963,0.6543,0.5976,0.4239,0.5776
baseline,baseline,xiangya,42,0.7115,0.698,0.5,0.6289,0.7746,0.5
baseline,baseline,xiangya,123,0.6962,0.679,0.5,0.699,0.8143,0.5
baseline,baseline,xiangya,2024,0.6846,0.6864,0.6028,0.5816,0.7668,0.5092
baseline,baseline,xiangya,3407,0.7204,0.7395,0.5609,0.5756,0.7417,0.5
baseline,baseline,xiangya,114514,0.7153,0.7034,0.6504,0.6204,0.7864,0.5
full,full,huaxi,42,0.7265,0.7335,0.6251,0.5955,0.4438,0.6179
full,full,huaxi,123,0.6853,0.6367,0.654,0.5966,0.438,0.5645
full,full,huaxi,2024,0.723,0.764,0.5519,0.6386,0.5413,0.5327
full,full,huaxi,3407,0.6009,0.6625,0.5,0.6381,0.5304,0.5
full,full,huaxi,114514,0.7146,0.7119,0.6416,0.6312,0.4745,0.6099
full,full,liaoning,42,0.5609,0.4719,0.5072,0.6219,0.468,0.5071
full,full,liaoning,123,0.7017,0.7882,0.5571,0.6404,0.4615,0.5072
full,full,liaoning,2024,0.517,0.5026,0.5,0.5928,0.4253,0.5
full,full,liaoning,3407,0.6932,0.7204,0.6217,0.6417,0.4402,0.6068
full,full,liaoning,114514,0.633,0.6576,0.609,0.5847,0.4386,0.5153
full,full,xiangya,42,0.5236,0.5237,0.5,0.7264,0.8469,0.5
full,full,xiangya,123,0.5325,0.4868,0.5,0.7169,0.8739,0.5
full,full,xiangya,2024,0.4928,0.4808,0.5,0.7557,0.8364,0.5
full,full,xiangya,3407,0.5339,0.537,0.5,0.6075,0.764,0.5
full,full,xiangya,114514,0.4938,0.4846,0.4668,0.692,0.7815,0.6092
no_aux,no_aux,huaxi,42,0.7003,0.717,0.4965,0.629,0.4651,0.5
no_aux,no_aux,huaxi,123,0.6631,0.6125,0.5674,0.583,0.439,0.504
no_aux,no_aux,huaxi,2024,0.6567,0.6404,0.5248,0.6324,0.4784,0.4949
no_aux,no_aux,huaxi,3407,0.7529,0.7886,0.5,0.6636,0.5615,0.5
no_aux,no_aux,huaxi,114514,0.7212,0.7326,0.5671,0.6153,0.4523,0.5
no_aux,no_aux,liaoning,42,0.7639,0.7662,0.5,0.6195,0.4286,0.5
no_aux,no_aux,liaoning,123,0.7955,0.8568,0.7132,0.6433,0.4497,0.5821
no_aux,no_aux,liaoning,2024,0.5096,0.5544,0.5,0.6833,0.5219,0.5
no_aux,no_aux,liaoning,3407,0.7047,0.7057,0.6411,0.6287,0.4415,0.5722
no_aux,no_aux,liaoning,114514,0.7051,0.7288,0.5,0.5929,0.4143,0.5
no_aux,no_aux,xiangya,42,0.4436,0.4553,0.5,0.7174,0.8298,0.4925
no_ema,no_ema,huaxi,42,0.7229,0.7222,0.507,0.5881,0.4947,0.5
no_ema,no_ema,huaxi,123,0.757,0.7615,0.6445,0.5722,0.4772,0.5
no_ema,no_ema,huaxi,2024,0.818,0.839,0.7275,0.5994,0.4628,0.5116
no_ema,no_ema,huaxi,3407,0.7881,0.7933,0.7026,0.5977,0.4926,0.5
no_ema,no_ema,huaxi,114514,0.8001,0.8125,0.6942,0.5972,0.487,0.4844
no_ema,no_ema,liaoning,42,0.8565,0.8916,0.7826,0.6686,0.5195,0.59
no_ema,no_ema,liaoning,123,0.7996,0.8664,0.7337,0.6186,0.4511,0.5537
no_ema,no_ema,liaoning,2024,0.7287,0.7559,0.6655,0.6289,0.4703,0.6223
no_ema,no_ema,liaoning,3407,0.7261,0.7802,0.6756,0.6386,0.4868,0.5656
no_ema,no_ema,liaoning,114514,0.7784,0.8143,0.6952,0.6055,0.4531,0.544
no_ema,no_ema,xiangya,42,0.7087,0.7057,0.5,0.6751,0.7707,0.5
no_ema,no_ema,xiangya,123,0.7265,0.719,0.5,0.6527,0.7793,0.5
no_ema,no_ema,xiangya,2024,0.7132,0.7151,0.5928,0.5905,0.791,0.5092
no_ema,no_ema,xiangya,3407,0.6492,0.6036,0.5,0.6547,0.8126,0.5
no_ema,no_ema,xiangya,114514,0.7168,0.6991,0.6201,0.5592,0.7336,0.5
no_wma,no_wma,huaxi,42,0.7025,0.7218,0.5745,0.5642,0.4628,0.5
no_wma,no_wma,huaxi,123,0.6986,0.6816,0.5637,0.5767,0.4324,0.548
no_wma,no_wma,huaxi,2024,0.7759,0.8053,0.5628,0.6284,0.5176,0.5
no_wma,no_wma,huaxi,3407,0.7086,0.6813,0.4964,0.6119,0.4941,0.5
no_wma,no_wma,huaxi,114514,0.5826,0.6239,0.5112,0.6301,0.5192,0.5381
no_wma,no_wma,liaoning,42,0.7179,0.759,0.6043,0.6537,0.446,0.6078
no_wma,no_wma,liaoning,123,0.5259,0.5293,0.5027,0.6079,0.4361,0.5225
no_wma,no_wma,liaoning,2024,0.522,0.5179,0.5,0.6314,0.4282,0.5
no_wma,no_wma,liaoning,3407,0.6086,0.6127,0.5,0.6553,0.5062,0.5
no_wma,no_wma,liaoning,114514,0.6983,0.7195,0.5109,0.6607,0.4865,0.5066
no_wma,no_wma,xiangya,42,0.5064,0.5851,0.5054,0.7139,0.8442,0.6405
no_wma,no_wma,xiangya,123,0.6037,0.5583,0.5102,0.6582,0.8082,0.5092
no_wma,no_wma,xiangya,2024,0.6339,0.5849,0.5,0.6343,0.7854,0.5
no_wma,no_wma,xiangya,3407,0.7157,0.6851,0.6124,0.6736,0.8376,0.5
no_wma,no_wma,xiangya,114514,0.4908,0.477,0.494,0.6408,0.7917,0.5985
