hospital,seed,baseline,full,no_wma,no_ema,no_aux
huaxi,42,0.5761,0.5955,0.5642,0.5881,0.6290
huaxi,123,0.5864,0.5966,0.5767,0.5722,0.5830
huaxi,2024,0.6170,0.6386,0.6284,0.5994,0.6324
huaxi,3407,0.6278,0.6381,0.6119,0.5977,0.6636
huaxi,114514,0.5761,0.6312,0.6301,0.5972,0.6153
liaoning,42,0.6709,0.6219,0.6537,0.6686,0.6195
liaoning,123,0.6227,0.6404,0.6079,0.6186,0.6433
liaoning,2024,0.6470,0.5928,0.6314,0.6289,0.6833
liaoning,3407,0.6474,0.6417,0.6553,0.6386,0.6287
liaoning,114514,0.5976,0.5847,0.6607,0.6055,0.5929
xiangya,42,0.6289,0.7264,0.7139,0.6751,0.7174
xiangya,123,0.6990,0.7169,0.6582,0.6527,0.7214
xiangya,2024,0.5816,0.7557,0.6343,0.5905,0.6517
xiangya,3407,0.5756,0.6075,0.6736,0.6547,0.5308
xiangya,114514,0.6204,0.6920,0.6408,0.5592,0.5721
