hospital,seed,baseline,only_wma,only_ema,only_aux,full
huaxi,42,0.5761,0.5693,0.5801,0.5818,0.5955
huaxi,123,0.5864,0.5744,0.6091,0.6006,0.5966
huaxi,2024,0.6170,0.5977,0.6182,0.6142,0.6386
huaxi,3407,0.6278,0.6023,0.6108,0.6000,0.6381
huaxi,114514,0.5761,0.5847,0.5727,0.5756,0.6312
liaoning,42,0.6709,0.6824,0.6145,0.6514,0.6219
liaoning,123,0.6227,0.6459,0.6605,0.6234,0.6404
liaoning,2024,0.6470,0.6198,0.5942,0.6532,0.5928
liaoning,3407,0.6474,0.6273,0.6480,0.6389,0.6417
liaoning,114514,0.5976,0.6186,0.6096,0.5900,0.5847
xiangya,42,0.6289,0.7697,0.5945,0.6726,0.7264
xiangya,123,0.6990,0.6856,0.6617,0.7517,0.7169
xiangya,2024,0.5816,0.5383,0.6095,0.6274,0.7557
xiangya,3407,0.5756,0.6831,0.5269,0.6527,0.6075
xiangya,114514,0.6204,0.5498,0.6617,0.5716,0.6920
