model,hospital,seed,dev_roc,dev_pr,dev_bacc,ext_roc,ext_pr,ext_bacc,val_roc_at_best,max_pos_f1,max_mcc
full_wma_ema_aux,huaxi,42,0.7265,0.7335,0.6251,0.5955,0.4438,0.6179,0.5955,0.5747,0.2358
full_wma_ema_aux,huaxi,123,0.6853,0.6367,0.654,0.5966,0.438,0.5645,0.5966,0.5439,0.1258
full_wma_ema_aux,huaxi,2024,0.723,0.764,0.5519,0.6386,0.5413,0.5327,0.6386,0.5614,0.1884
full_wma_ema_aux,huaxi,3407,0.6009,0.6625,0.5,0.6381,0.5304,0.5,0.6381,0.5424,0.0823
full_wma_ema_aux,huaxi,114514,0.7146,0.7119,0.6416,0.6312,0.4745,0.6099,0.6312,0.5487,0.2122
full_wma_ema_aux,liaoning,42,0.5609,0.4719,0.5072,0.6219,0.468,0.5071,0.6219,0.5417,0.2006
full_wma_ema_aux,liaoning,123,0.7017,0.7882,0.5571,0.6404,0.4615,0.5072,0.6404,0.5354,0.1719
full_wma_ema_aux,liaoning,2024,0.517,0.5026,0.5,0.5928,0.4253,0.5,0.5928,0.2476,0.1093
full_wma_ema_aux,liaoning,3407,0.6932,0.7204,0.6217,0.6417,0.4402,0.6068,0.6417,0.5688,0.2388
full_wma_ema_aux,liaoning,114514,0.633,0.6576,0.609,0.5847,0.4386,0.5153,0.5847,0.4321,0.0972
full_wma_ema_aux,xiangya,42,0.5236,0.5237,0.5,0.7264,0.8469,0.5,0.7264,0.8171,0.0873
full_wma_ema_aux,xiangya,123,0.5325,0.4868,0.5,0.7169,0.8739,0.5,0.7169,0.8171,0.0134
full_wma_ema_aux,xiangya,2024,0.4928,0.4808,0.5,0.7557,0.8364,0.5,0.7557,0.8212,0.2605
full_wma_ema_aux,xiangya,3407,0.5339,0.537,0.5,0.6075,0.764,0.5,0.6075,0.8171,0.0
full_wma_ema_aux,xiangya,114514,0.4938,0.4846,0.4668,0.692,0.7815,0.6092,0.692,0.8462,0.367
