hospital,seed,baseline_ext_roc,full_ext_roc,delta_ext_roc,baseline_ext_pr,full_ext_pr
huaxi,42,0.5761,0.5955,0.019400000000000084,0.4591,0.4438
huaxi,123,0.5864,0.5966,0.010199999999999987,0.4821,0.438
huaxi,2024,0.617,0.6386,0.021599999999999953,0.5266,0.5413
huaxi,3407,0.6278,0.6381,0.010299999999999976,0.5011,0.5304
huaxi,114514,0.5761,0.6312,0.05510000000000004,0.4203,0.4745
liaoning,42,0.6709,0.6219,-0.049000000000000044,0.5026,0.468
liaoning,123,0.6227,0.6404,0.017699999999999938,0.4712,0.4615
liaoning,2024,0.647,0.5928,-0.054200000000000026,0.4961,0.4253
liaoning,3407,0.6474,0.6417,-0.005699999999999927,0.5032,0.4402
liaoning,114514,0.5976,0.5847,-0.012900000000000023,0.4239,0.4386
xiangya,42,0.6289,0.7264,0.09750000000000003,0.7746,0.8469
xiangya,123,0.699,0.7169,0.017900000000000027,0.8143,0.8739
xiangya,2024,0.5816,0.7557,0.17410000000000003,0.7668,0.8364
xiangya,3407,0.5756,0.6075,0.03190000000000004,0.7417,0.764
xiangya,114514,0.6204,0.692,0.0716,0.7864,0.7815
