model,hospital,seed,auc,default_bal,opt_thr,adj_bal,adj_f1,sens,spec
full,huaxi,42,0.5954545454545455,0.6178977272727273,0.4999014735221863,0.6178977272727273,0.5747126436781609,0.78125,0.45454545454545453
full,huaxi,123,0.5965909090909091,0.5644886363636363,0.510390043258667,0.6201704545454545,0.5230769230769231,0.53125,0.7090909090909091
full,huaxi,2024,0.6386363636363637,0.5326704545454546,0.48980826139450073,0.6369318181818182,0.509090909090909,0.4375,0.8363636363636363
full,huaxi,3407,0.6380681818181818,0.5,0.5494493544101715,0.6528409090909091,0.5866666666666667,0.6875,0.6181818181818182
full,huaxi,114514,0.63125,0.6099431818181817,0.4879511594772339,0.6414772727272727,0.6122448979591837,0.9375,0.34545454545454546
full,liaoning,42,0.6219331279242268,0.5070752025562022,0.5309991538524628,0.6129750085587128,0.46153846153846156,0.391304347826087,0.8346456692913385
full,liaoning,123,0.6404199475065616,0.5072463768115942,0.4365551918745041,0.6302065502681731,0.5743589743589743,0.8115942028985508,0.44881889763779526
full,liaoning,2024,0.5928335045075888,0.5,0.4412637799978256,0.6052721670660732,0.4852941176470588,0.4782608695652174,0.7322834645669292
full,liaoning,3407,0.6416752253794363,0.6067556772794704,0.5114195942878723,0.6254707292023279,0.5604395604395604,0.7391304347826086,0.5118110236220472
full,liaoning,114514,0.5847312564190346,0.5152915668150178,0.4799370020627975,0.609722697706265,0.5483870967741935,0.7391304347826086,0.48031496062992124
full,xiangya,42,0.7263681592039801,0.5,0.5694350004196167,0.6937810945273633,0.8148148148148148,0.8208955223880597,0.5666666666666667
full,xiangya,123,0.7169154228855722,0.5,0.5817992687225342,0.7019900497512438,0.6728971962616822,0.5373134328358209,0.8666666666666667
full,xiangya,2024,0.7557213930348259,0.5,0.3990791141986847,0.7507462686567165,0.7833333333333333,0.7014925373134329,0.8
full,xiangya,3407,0.6074626865671643,0.5,0.5411760210990906,0.6507462686567165,0.746031746031746,0.7014925373134329,0.6
full,xiangya,114514,0.6920398009950249,0.6092039800995025,0.511277437210083,0.7034825870646766,0.863013698630137,0.9402985074626866,0.4666666666666667
