method,hospital,seed,split,roc,pr,mcc,f1p,sens,spec,n,neff,u_mean,u_std
B1_mean,huaxi,42,val,0.7311827956989247,0.7337930966772794,0.27907021398170967,0.631578947368421,0.6666666666666666,0.6129032258064516,58,11.999999999999998,0.0,0.0
B1_mean,huaxi,42,external,0.5784090909090909,0.4803140743320277,0.053636259212403226,0.5391304347826087,0.96875,0.05454545454545454,87,11.999999999999998,0.0,0.0
B1_mean,huaxi,123,val,0.7252090800477898,0.7182894496787862,0.261925505493933,0.6451612903225806,0.7407407407407407,0.5161290322580645,58,11.999999999999998,0.0,0.0
B1_mean,huaxi,123,external,0.5528409090909091,0.4431326596547178,0.1170035878603409,0.5470085470085471,1.0,0.03636363636363636,87,11.999999999999998,0.0,0.0
B1_mean,huaxi,2024,val,0.7455197132616488,0.7232043418775731,0.4126422822122716,0.6909090909090909,0.7037037037037037,0.7096774193548387,58,11.999999999999998,0.0,0.0
B1_mean,huaxi,2024,external,0.5875,0.46243912816113064,0.053636259212403226,0.5391304347826087,0.96875,0.05454545454545454,87,11.999999999999998,0.0,0.0
B1_mean,huaxi,3407,val,0.7216248506571088,0.6881938421676923,0.4446141198869673,0.7301587301587301,0.8518518518518519,0.5806451612903226,58,11.999999999999998,0.0,0.0
B1_mean,huaxi,3407,external,0.5414772727272728,0.4099491703858185,-0.11712187015042266,0.5172413793103449,0.9375,0.01818181818181818,87,11.999999999999998,0.0,0.0
B1_mean,huaxi,114514,val,0.7132616487455197,0.6778065098327353,0.33258447906904054,0.6774193548387096,0.7777777777777778,0.5483870967741935,58,11.999999999999998,0.0,0.0
B1_mean,huaxi,114514,external,0.5181818181818182,0.4084425919815894,0.0,0.5378151260504201,1.0,0.0,87,11.999999999999998,0.0,0.0
B1_mean,liaoning,42,val,0.8080495356037152,0.8677420081825116,0.40718715755934326,0.7555555555555555,0.8947368421052632,0.47058823529411764,36,11.999999999999998,0.0,0.0
B1_mean,liaoning,42,external,0.639849366655255,0.4787215070164997,0.21579226263741577,0.5380116959064327,0.6666666666666666,0.5590551181102362,196,11.999999999999998,0.0,0.0
B1_mean,liaoning,123,val,0.7647058823529412,0.8277317396716384,0.2829605671175097,0.7111111111111111,0.8421052631578947,0.4117647058823529,36,11.999999999999998,0.0,0.0
B1_mean,liaoning,123,external,0.6036745406824146,0.42265570844584077,0.21860178110728792,0.5588235294117647,0.8260869565217391,0.3858267716535433,196,11.999999999999998,0.0,0.0
B1_mean,liaoning,2024,val,0.7770897832817336,0.8367875017444448,0.38949041885226005,0.7027027027027027,0.6842105263157895,0.7058823529411765,36,11.999999999999998,0.0,0.0
B1_mean,liaoning,2024,external,0.599908707063791,0.42417396564326604,0.11123934440698982,0.42857142857142855,0.43478260869565216,0.6771653543307087,196,11.999999999999998,0.0,0.0
B1_mean,liaoning,3407,val,0.7739938080495355,0.8387331258569322,0.2737199309863917,0.6666666666666666,0.6842105263157895,0.5882352941176471,36,11.999999999999998,0.0,0.0
B1_mean,liaoning,3407,external,0.5865571151432157,0.40919679684735355,0.10441560573083705,0.4,0.37681159420289856,0.7244094488188977,196,11.999999999999998,0.0,0.0
B1_mean,liaoning,114514,val,0.7956656346749227,0.8557640542894625,0.44272445820433437,0.7368421052631579,0.7368421052631579,0.7058823529411765,36,11.999999999999998,0.0,0.0
B1_mean,liaoning,114514,external,0.5853018372703411,0.41064054840326497,0.24701271601636057,0.5487804878048781,0.6521739130434783,0.6062992125984252,196,11.999999999999998,0.0,0.0
