method,hospital,seed,split,roc,pr,mcc,f1p
EMA_Aux,huaxi,42,val,0.7240143369175627,0.7086362751832416,0.41741271322050594,0.7017543859649122
EMA_Aux,huaxi,42,external,0.5636363636363636,0.4669495926082326,0.013514061940433385,0.5344827586206896
EMA_Aux,huaxi,123,val,0.7395459976105137,0.7195147039478833,0.3434710325928735,0.6545454545454545
EMA_Aux,huaxi,123,external,0.5499999999999999,0.4443097829000862,0.013514061940433385,0.5344827586206896
EMA_Aux,huaxi,2024,val,0.7240143369175627,0.6961643204347829,0.3434710325928735,0.6545454545454545
EMA_Aux,huaxi,2024,external,0.5818181818181818,0.4630908180484538,0.08593589370601203,0.543859649122807
EMA_Aux,huaxi,3407,val,0.7323775388291517,0.7370150076646169,0.4551971326164875,0.7241379310344828
EMA_Aux,huaxi,3407,external,0.5823863636363636,0.4719825789118596,0.053636259212403226,0.5391304347826087
EMA_Aux,huaxi,114514,val,0.7383512544802868,0.7216708911295848,0.41741271322050594,0.7017543859649122
EMA_Aux,huaxi,114514,external,0.5619318181818183,0.46500065202704144,-0.06017726643342801,0.5217391304347826
EMA_Aux,liaoning,42,val,0.7956656346749226,0.8492434439971119,0.26368468196890665,0.72
EMA_Aux,liaoning,42,external,0.6001369394043135,0.43653616315277843,0.11147758044314743,0.5167464114832536
EMA_Aux,liaoning,123,val,0.7832817337461301,0.8515517102436605,0.33143652690349795,0.7142857142857143
EMA_Aux,liaoning,123,external,0.5738902202442085,0.3928067335694132,0.12769599452242383,0.43478260869565216
EMA_Aux,liaoning,2024,val,0.7770897832817337,0.8403118876311619,0.33888610767766936,0.7272727272727273
EMA_Aux,liaoning,2024,external,0.6508045190003423,0.48629774550344373,0.1920646741205795,0.4966442953020134
EMA_Aux,liaoning,3407,val,0.7863777089783281,0.8505932632460953,0.2180950197925595,0.6818181818181818
EMA_Aux,liaoning,3407,external,0.6197649206892617,0.45217042679938657,0.16557664876105166,0.5116279069767442
EMA_Aux,liaoning,114514,val,0.8297213622291021,0.8922155510468202,0.019672236884115842,0.6666666666666666
EMA_Aux,liaoning,114514,external,0.5374871619308457,0.39154694062403383,0.073117142124423,0.49246231155778897
EMA_Aux,xiangya,42,val,0.6319444444444444,0.5329477571643234,0.2747103361708513,0.5846153846153846
EMA_Aux,xiangya,42,external,0.5238805970149254,0.7134337370133733,0.0,0.8170731707317073
EMA_Aux,xiangya,123,val,0.6027777777777779,0.46532305165117427,0.062017367294604234,0.5277777777777778
EMA_Aux,xiangya,123,external,0.4716417910447761,0.6431199752916297,0.0,0.8170731707317073
EMA_Aux,xiangya,2024,val,0.6402777777777777,0.48612411569349356,0.13770607453181927,0.5428571428571428
EMA_Aux,xiangya,2024,external,0.49054726368159207,0.6708584498746232,0.0,0.8170731707317073
EMA_Aux,xiangya,3407,val,0.7097222222222221,0.5515229774011935,0.0,0.5263157894736842
EMA_Aux,xiangya,3407,external,0.4860696517412936,0.6756697251453316,0.0,0.8170731707317073
EMA_Aux,xiangya,114514,val,0.6180555555555555,0.439292462731412,0.0,0.5263157894736842
EMA_Aux,xiangya,114514,external,0.5522388059701493,0.7335092799905402,0.0,0.8170731707317073
