method,hospital,seed,split,roc,pr,mcc,f1p,neff
A_eq,huaxi,42,val,0.7120669056152927,0.7147368875078826,0.323714815841943,0.6666666666666666,11.109820674999066
A_eq,huaxi,42,external,0.584659090909091,0.4936437915474857,0.053636259212403226,0.5391304347826087,10.92899665369598
A_eq,huaxi,123,val,0.7586618876941457,0.7109893860239245,0.37337760344098914,0.6984126984126984,10.507579922957106
A_eq,huaxi,123,external,0.5596590909090909,0.4535698119508698,0.08225161211526649,0.5423728813559322,10.420357047215493
A_eq,huaxi,2024,val,0.7252090800477897,0.7050116933986801,0.3935120623803545,0.7,10.906198882601565
A_eq,huaxi,2024,external,0.5619318181818183,0.453417997874518,0.053636259212403226,0.5391304347826087,10.471859280168205
A_eq,huaxi,3407,val,0.7383512544802867,0.7135276195128255,0.3482414636011078,0.6666666666666666,9.08874701026332
A_eq,huaxi,3407,external,0.55,0.43566723686321157,0.08593589370601203,0.543859649122807,8.66671658152996
A_eq,huaxi,114514,val,0.7216248506571087,0.7050559167139283,0.3434710325928735,0.6545454545454545,9.926658202031184
A_eq,huaxi,114514,external,0.5346590909090909,0.43891222229077265,0.053636259212403226,0.5391304347826087,9.587008709594688
A_eq,liaoning,42,val,0.7739938080495357,0.8339838723268522,0.2726602520414434,0.6829268292682927,11.637936579063073
A_eq,liaoning,42,external,0.5777701700330937,0.4073024824925577,0.21496245253537513,0.5402298850574713,11.663693413400281
A_eq,liaoning,123,val,0.7863777089783281,0.8180118291587035,0.3291794846689796,0.7,11.84200606408465
A_eq,liaoning,123,external,0.5930046787629807,0.4121907768337068,0.14475828732535323,0.4774193548387097,11.83051519601428
A_eq,liaoning,2024,val,0.7801857585139318,0.8258707130321925,0.4596771955627792,0.7727272727272727,11.82518284633198
A_eq,liaoning,2024,external,0.5987675453611777,0.45256296244881095,0.23544966363650172,0.5591397849462365,11.777809827740331
A_eq,liaoning,3407,val,0.7801857585139319,0.8359628095689475,0.013495043168856575,0.6792452830188679,11.597519693415922
A_eq,liaoning,3407,external,0.5927193883373275,0.4086029595376639,0.08259026570873454,0.5175438596491229,11.620728699184292
A_eq,liaoning,114514,val,0.7956656346749226,0.8554475431692941,0.4420410222697726,0.75,11.843851681815915
A_eq,liaoning,114514,external,0.560766860664156,0.37820928600561465,0.19440940951459804,0.5263157894736842,11.845591790888253
A_eq,xiangya,42,val,0.6194444444444445,0.5212855679029225,0.20759971844307282,0.5625,9.96605963358428
A_eq,xiangya,42,external,0.5338308457711444,0.7246905256357381,0.0,0.8170731707317073,10.494508017216889
A_eq,xiangya,123,val,0.6333333333333334,0.5775167262492242,0.16789392295386976,0.5423728813559322,8.719041074634271
A_eq,xiangya,123,external,0.5537313432835821,0.729805323543175,0.059872431374995955,0.8148148148148148,8.298093316034588
A_eq,xiangya,2024,val,0.6444444444444445,0.4470731369473248,0.10268720616205405,0.5352112676056338,11.5363359090998
A_eq,xiangya,2024,external,0.37860696517412934,0.6131863637182028,0.0,0.8170731707317073,11.440527650300787
A_eq,xiangya,3407,val,0.6652777777777777,0.4725130254270914,0.2332864762560731,0.5714285714285714,11.825691404773206
A_eq,xiangya,3407,external,0.3965174129353234,0.6308870630460978,0.0,0.8170731707317073,11.797674522198399
A_eq,xiangya,114514,val,0.6041666666666667,0.5067916464401084,0.0,0.5263157894736842,11.810761502822436
A_eq,xiangya,114514,external,0.4059701492537313,0.6370370635563637,0.0,0.8170731707317073,11.82965043760075
