method,hospital,seed,split,roc,pr,mcc,f1p,neff
N12_attn,huaxi,42,val,0.7132616487455198,0.6899771954798914,0.403243452644148,0.7096774193548387,10.259296507239027
N12_attn,huaxi,42,external,0.5772727272727273,0.45714849221105186,0.0,0.5378151260504201,10.369603372506827
N12_attn,huaxi,123,val,0.7586618876941458,0.70179155759717,0.42420801505049993,0.711864406779661,9.798153127560257
N12_attn,huaxi,123,external,0.5471590909090909,0.4607433035325302,0.1170035878603409,0.5470085470085471,9.906778446198858
N12_attn,huaxi,2024,val,0.7108721624850657,0.6959168640455031,0.33258447906904054,0.6774193548387096,10.920166098241452
N12_attn,huaxi,2024,external,0.5636363636363637,0.4475407705369547,0.053636259212403226,0.5391304347826087,11.183915869809276
N12_attn,huaxi,3407,val,0.7323775388291517,0.6983351962901068,0.34032507422130504,0.6415094339622641,9.708662928748495
N12_attn,huaxi,3407,external,0.5892045454545454,0.4836625919160555,0.053636259212403226,0.5391304347826087,9.065372267254121
N12_attn,huaxi,114514,val,0.7407407407407407,0.7271310503311539,0.3935120623803545,0.7,11.133409261179073
N12_attn,huaxi,114514,external,0.5897727272727273,0.4593733127961557,0.013514061940433385,0.5344827586206896,10.821663438068143
N12_attn,liaoning,42,val,0.7894736842105263,0.8361394670544091,0.0,0.6909090909090909,11.870057650827507
N12_attn,liaoning,42,external,0.5583704210886683,0.3969684495625524,0.0,0.5207547169811321,11.85332399384022
N12_attn,liaoning,123,val,0.7647058823529411,0.8210316185250561,0.2737199309863917,0.6666666666666666,11.792636604262677
N12_attn,liaoning,123,external,0.620221385370307,0.4247227981943224,0.14321900064020543,0.4065040650406504,11.750391954626762
N12_attn,liaoning,2024,val,0.7647058823529411,0.8222142748711103,0.11743577988830127,0.6923076923076923,11.784264556725283
N12_attn,liaoning,2024,external,0.6217048955837042,0.44375314577416203,0.12171996179448014,0.5333333333333333,11.695962225654656
N12_attn,liaoning,3407,val,0.7523219814241486,0.8218823772576305,0.38949041885226005,0.7027027027027027,11.671793272184464
N12_attn,liaoning,3407,external,0.5787972155654457,0.393305494399869,0.14742600422473465,0.45390070921985815,11.699397215144463
N12_attn,liaoning,114514,val,0.7770897832817337,0.836573157464614,0.2180950197925595,0.6818181818181818,11.674371321984022
N12_attn,liaoning,114514,external,0.5729202327969873,0.3952502616835492,0.16303652547928701,0.5217391304347826,11.635618525545372
N12_attn,xiangya,42,val,0.6444444444444445,0.5395031382294986,0.22391714737574003,0.5666666666666667,7.91055680973046
N12_attn,xiangya,42,external,0.5875621890547265,0.7194325144069048,0.12371537898307342,0.8076923076923077,8.112026683185062
N12_attn,xiangya,123,val,0.6361111111111112,0.5502186165816281,-0.0573775310549247,0.5135135135135135,11.810358478582513
N12_attn,xiangya,123,external,0.4597014925373134,0.6631440967206088,0.0,0.8170731707317073,11.814493872800357
N12_attn,xiangya,2024,val,0.6361111111111111,0.4308333497333029,0.10268720616205405,0.5352112676056338,11.31404737310494
N12_attn,xiangya,2024,external,0.3592039800995025,0.6030654983484312,0.0,0.8170731707317073,11.009007459625076
N12_attn,xiangya,3407,val,0.6569444444444444,0.49245729277543093,0.10268720616205405,0.5352112676056338,11.657053095730431
N12_attn,xiangya,3407,external,0.5189054726368159,0.7088731664962569,0.0,0.8170731707317073,11.655590758117443
