method,hospital,seed,split,roc,pr,mcc,f1p,neff
B1,huaxi,42,val,0.7311827956989247,0.7337930966772794,0.27907021398170967,0.631578947368421,11.999999999999998
B1,huaxi,42,external,0.5784090909090909,0.4803140743320277,0.053636259212403226,0.5391304347826087,11.999999999999998
B1,huaxi,123,val,0.7252090800477898,0.7182894496787862,0.261925505493933,0.6451612903225806,11.999999999999998
B1,huaxi,123,external,0.5528409090909091,0.4431326596547178,0.1170035878603409,0.5470085470085471,11.999999999999998
B1,huaxi,3407,val,0.7216248506571088,0.6881938421676923,0.4446141198869673,0.7301587301587301,11.999999999999998
B1,huaxi,3407,external,0.5414772727272728,0.4099491703858185,-0.11712187015042266,0.5172413793103449,11.999999999999998
B1,liaoning,42,val,0.8080495356037152,0.8677420081825116,0.40718715755934326,0.7555555555555555,11.999999999999998
B1,liaoning,42,external,0.639849366655255,0.4787215070164997,0.21579226263741577,0.5380116959064327,11.999999999999998
B1,liaoning,123,val,0.7647058823529412,0.8277317396716384,0.2829605671175097,0.7111111111111111,11.999999999999998
B1,liaoning,123,external,0.6036745406824146,0.42265570844584077,0.21860178110728792,0.5588235294117647,11.999999999999998
B1,liaoning,3407,val,0.7739938080495355,0.8387331258569322,0.2737199309863917,0.6666666666666666,11.999999999999998
B1,liaoning,3407,external,0.5865571151432157,0.40919679684735355,0.10441560573083705,0.4,11.999999999999998
B1,xiangya,42,val,0.6222222222222222,0.4256198953209638,0.13770607453181927,0.5428571428571428,11.999999999999998
B1,xiangya,42,external,0.3800995024875622,0.6417863006185724,0.0,0.8170731707317073,11.999999999999998
B1,xiangya,123,val,0.6708333333333333,0.48805820853872817,0.1983673196268351,0.5573770491803278,11.999999999999998
B1,xiangya,123,external,0.4651741293532339,0.6526975402261637,0.2168352920067421,0.8271604938271605,11.999999999999998
B1,xiangya,3407,val,0.6333333333333333,0.5148001112528189,0.18090680674665816,0.5538461538461539,11.999999999999998
B1,xiangya,3407,external,0.6338308457711442,0.7737409899586971,-0.0970904292567502,0.8024691358024691,11.999999999999998
Attn_base,huaxi,42,val,0.7132616487455198,0.6899771954798914,0.403243452644148,0.7096774193548387,10.259296507239027
Attn_base,huaxi,42,external,0.5772727272727273,0.45714849221105186,0.0,0.5378151260504201,10.369603372506827
Attn_base,huaxi,123,val,0.7586618876941458,0.70179155759717,0.42420801505049993,0.711864406779661,9.798153127560257
Attn_base,huaxi,123,external,0.5471590909090909,0.4607433035325302,0.1170035878603409,0.5470085470085471,9.906778446198858
Attn_base,huaxi,3407,val,0.7323775388291517,0.6983351962901068,0.34032507422130504,0.6415094339622641,9.708662928748495
Attn_base,huaxi,3407,external,0.5892045454545454,0.4836625919160555,0.053636259212403226,0.5391304347826087,9.065372267254121
Attn_base,liaoning,42,val,0.7894736842105263,0.8361394670544091,0.0,0.6909090909090909,11.870057650827507
Attn_base,liaoning,42,external,0.5583704210886683,0.3969684495625524,0.0,0.5207547169811321,11.85332399384022
Attn_base,liaoning,123,val,0.7647058823529411,0.8210316185250561,0.2737199309863917,0.6666666666666666,11.792636604262677
Attn_base,liaoning,123,external,0.620221385370307,0.4247227981943224,0.14321900064020543,0.4065040650406504,11.750391954626762
Attn_base,liaoning,3407,val,0.7523219814241486,0.8218823772576305,0.38949041885226005,0.7027027027027027,11.671793272184464
Attn_base,liaoning,3407,external,0.5787972155654457,0.393305494399869,0.14742600422473465,0.45390070921985815,11.699397215144463
Attn_base,xiangya,42,val,0.6444444444444445,0.5395031382294986,0.22391714737574003,0.5666666666666667,7.91055680973046
Attn_base,xiangya,42,external,0.5875621890547265,0.7194325144069048,0.12371537898307342,0.8076923076923077,8.112026683185062
Attn_base,xiangya,123,val,0.6361111111111112,0.5502186165816281,-0.0573775310549247,0.5135135135135135,11.810358478582513
Attn_base,xiangya,123,external,0.4597014925373134,0.6631440967206088,0.0,0.8170731707317073,11.814493872800357
Attn_base,xiangya,3407,val,0.6569444444444444,0.49245729277543093,0.10268720616205405,0.5352112676056338,11.657053095730431
Attn_base,xiangya,3407,external,0.5189054726368159,0.7088731664962569,0.0,0.8170731707317073,11.655590758117443
A_eq,huaxi,42,val,0.7120669056152927,0.7147368875078826,0.323714815841943,0.6666666666666666,11.109820674999066
A_eq,huaxi,42,external,0.584659090909091,0.4936437915474857,0.053636259212403226,0.5391304347826087,10.92899665369598
A_eq,huaxi,123,val,0.7586618876941457,0.7109893860239245,0.37337760344098914,0.6984126984126984,10.507579922957106
A_eq,huaxi,123,external,0.5596590909090909,0.4535698119508698,0.08225161211526649,0.5423728813559322,10.420357047215493
A_eq,huaxi,3407,val,0.7383512544802867,0.7135276195128255,0.3482414636011078,0.6666666666666666,9.08874701026332
A_eq,huaxi,3407,external,0.55,0.43566723686321157,0.08593589370601203,0.543859649122807,8.66671658152996
A_eq,liaoning,42,val,0.7739938080495357,0.8339838723268522,0.2726602520414434,0.6829268292682927,11.637936579063073
A_eq,liaoning,42,external,0.5777701700330937,0.4073024824925577,0.21496245253537513,0.5402298850574713,11.663693413400281
A_eq,liaoning,123,val,0.7863777089783281,0.8180118291587035,0.3291794846689796,0.7,11.84200606408465
A_eq,liaoning,123,external,0.5930046787629807,0.4121907768337068,0.14475828732535323,0.4774193548387097,11.83051519601428
A_eq,liaoning,3407,val,0.7801857585139319,0.8359628095689475,0.013495043168856575,0.6792452830188679,11.597519693415922
A_eq,liaoning,3407,external,0.5927193883373275,0.4086029595376639,0.08259026570873454,0.5175438596491229,11.620728699184292
A_eq,xiangya,42,val,0.6194444444444445,0.5212855679029225,0.20759971844307282,0.5625,9.96605963358428
A_eq,xiangya,42,external,0.5338308457711444,0.7246905256357381,0.0,0.8170731707317073,10.494508017216889
A_eq,xiangya,123,val,0.6333333333333334,0.5775167262492242,0.16789392295386976,0.5423728813559322,8.719041074634271
A_eq,xiangya,123,external,0.5537313432835821,0.729805323543175,0.059872431374995955,0.8148148148148148,8.298093316034588
A_eq,xiangya,3407,val,0.6652777777777777,0.4725130254270914,0.2332864762560731,0.5714285714285714,11.825691404773206
A_eq,xiangya,3407,external,0.3965174129353234,0.6308870630460978,0.0,0.8170731707317073,11.797674522198399
B_tau02,huaxi,42,val,0.7001194743130228,0.700533759431311,0.0,0.6352941176470588,10.510800675678391
B_tau02,huaxi,42,external,0.5056818181818182,0.38731021269537363,0.0,0.5378151260504201,10.494118125833324
B_tau02,huaxi,123,val,0.7287933094384706,0.7056678902946683,0.3547050069348813,0.6779661016949152,8.295519072807645
B_tau02,huaxi,123,external,0.509090909090909,0.39414034905034423,0.0,0.5378151260504201,8.231312389656663
B_tau02,huaxi,3407,val,0.7180406212664278,0.6704199435645117,0.2686242191525698,0.5882352941176471,10.285196966321056
B_tau02,huaxi,3407,external,0.5897727272727273,0.48483987780123594,0.09536784757171116,0.5346534653465347,10.463224034078545
B_tau02,liaoning,42,val,0.7863777089783281,0.8503746550334246,0.2726602520414434,0.6829268292682927,10.692978144331502
B_tau02,liaoning,42,external,0.6008216364258816,0.4330298140907324,0.15572310740712755,0.5279187817258884,10.761816438153645
B_tau02,liaoning,123,val,0.7739938080495357,0.8516712987951052,0.27541131637762184,0.6976744186046512,9.708367590576948
B_tau02,liaoning,123,external,0.578911331735707,0.3971219997309778,0.17954148958610772,0.5202312138728323,9.455617527340767
B_tau02,liaoning,3407,val,0.7863777089783281,0.8420968710310826,0.2726602520414434,0.6829268292682927,8.168286842445657
B_tau02,liaoning,3407,external,0.6270683555859865,0.45995549563471255,0.13031919653091165,0.42962962962962964,8.404422214735623
B_tau02,xiangya,42,val,0.6944444444444444,0.5704774717752221,0.19711269061065795,0.5306122448979592,9.921511918258082
B_tau02,xiangya,42,external,0.5129353233830846,0.6797919325156478,0.06412306271123257,0.7814569536423841,9.801707960168102
B_tau02,xiangya,123,val,0.638888888888889,0.4814713072840008,0.062017367294604234,0.5277777777777778,10.867323293738261
B_tau02,xiangya,123,external,0.4328358208955224,0.6335896598027966,0.0,0.8170731707317073,10.739843021478736
B_tau02,xiangya,3407,val,0.6625,0.4600619057178441,0.32222222222222224,0.6071428571428571,10.997988367509175
B_tau02,xiangya,3407,external,0.4263681592039801,0.6735721572840879,-0.18661690879115472,0.7643312101910829,10.81291455858635
C_noaux,huaxi,42,val,0.7407407407407406,0.7224851122063043,0.3547050069348813,0.6779661016949152,10.772792850995797
C_noaux,huaxi,42,external,0.5693181818181818,0.4520527093690609,0.024290635336173587,0.5272727272727272,11.204798702244677
C_noaux,huaxi,123,val,0.7479091995221028,0.7199887006137846,0.3935120623803545,0.7,11.141034368302325
C_noaux,huaxi,123,external,0.5607954545454545,0.506953072633907,0.0,0.5378151260504201,11.072669861492624
C_noaux,huaxi,3407,val,0.7431302270011947,0.7146763009178285,0.3070489844683393,0.6296296296296297,11.018746154951335
C_noaux,huaxi,3407,external,0.5721590909090909,0.4803419863096611,0.12541548422578902,0.5504587155963303,10.992281706923327
C_noaux,liaoning,42,val,0.7739938080495355,0.8396533600558367,0.33143652690349795,0.7142857142857143,11.475145626197369
C_noaux,liaoning,42,external,0.6308341892046103,0.4660445348812932,0.2622812702523449,0.5555555555555556,11.460747181257384
C_noaux,liaoning,123,val,0.7739938080495357,0.8386307345904866,0.3981380814347516,0.6857142857142857,10.992946936414777
C_noaux,liaoning,123,external,0.6445281296359694,0.4667488133688228,0.13446379672061362,0.2765957446808511,10.859786166814365
C_noaux,liaoning,3407,val,0.78328173374613,0.8466241701768016,0.38949041885226005,0.7027027027027027,11.205610941001007
C_noaux,liaoning,3407,external,0.6295789113317358,0.4681317272980344,0.11993304274349012,0.34545454545454546,11.04115556905107
C_noaux,xiangya,42,val,0.663888888888889,0.6044361548046767,0.12321752491009465,0.5373134328358209,8.496420025840363
C_noaux,xiangya,42,external,0.536318407960199,0.6877332927540193,0.0,0.8170731707317073,8.717407100494622
C_noaux,xiangya,123,val,0.6416666666666666,0.5096455899132027,0.13770607453181927,0.5428571428571428,11.724734697941729
C_noaux,xiangya,123,external,0.5074626865671642,0.6920428470167992,0.0,0.8170731707317073,11.735194834769505
C_noaux,xiangya,3407,val,0.6777777777777778,0.5069225533207715,0.13770607453181927,0.5428571428571428,11.16267438899929
C_noaux,xiangya,3407,external,0.42686567164179107,0.6509437927339043,0.0,0.8170731707317073,11.295936319046069
D_ls05,huaxi,42,val,0.7216248506571087,0.700886359630406,0.42420801505049993,0.711864406779661,10.392064192739333
D_ls05,huaxi,42,external,0.5625,0.42776523093831137,0.08225161211526649,0.5423728813559322,9.970549867133686
D_ls05,huaxi,123,val,0.7287933094384706,0.7005669590515415,0.27907021398170967,0.631578947368421,10.288863574411216
D_ls05,huaxi,123,external,0.5340909090909091,0.4505669662233235,0.08225161211526649,0.5423728813559322,10.249016714371203
D_ls05,huaxi,3407,val,0.7311827956989246,0.7099584278063475,0.31660692951015534,0.6551724137931034,9.23334892028647
D_ls05,huaxi,3407,external,0.5522727272727272,0.4641414705442064,0.053636259212403226,0.5391304347826087,8.703419671316237
D_ls05,liaoning,42,val,0.7739938080495355,0.8030385043748562,0.0,0.6909090909090909,11.800974171148049
D_ls05,liaoning,42,external,0.5143215793677964,0.36410270139624923,0.0,0.5207547169811321,11.801909882853023
D_ls05,liaoning,123,val,0.7585139318885448,0.8255969313422882,0.26368468196890665,0.72,11.660705564921415
D_ls05,liaoning,123,external,0.5809654228004109,0.4103833756147307,0.08934732687464454,0.5158371040723982,11.613108188623238
D_ls05,liaoning,3407,val,0.7739938080495357,0.8274072746145205,0.22941573387056177,0.19047619047619047,11.8294794557878
D_ls05,liaoning,3407,external,0.5829053976948534,0.41912569221831647,-0.004883452833239409,0.027777777777777776,11.804752514963454
D_ls05,xiangya,42,val,0.6027777777777777,0.5259021499002886,0.11677484162422845,0.53125,9.056422519716516
D_ls05,xiangya,42,external,0.6004975124378109,0.7500567630132038,-0.0970904292567502,0.8024691358024691,9.331730741412834
D_ls05,xiangya,123,val,0.6180555555555556,0.49491570792397577,0.09198600900533842,0.49056603773584906,9.719051191766482
D_ls05,xiangya,123,external,0.5268656716417911,0.6979600840859448,0.2168352920067421,0.8271604938271605,9.080593425922077
D_ls05,xiangya,3407,val,0.6986111111111111,0.5021848740927688,0.062017367294604234,0.5277777777777778,11.509592512718886
D_ls05,xiangya,3407,external,0.43980099502487563,0.6564376894484099,0.0,0.8170731707317073,11.547022293358596
