method,hospital,seed,split,roc,pr,mcc,f1p
B1,huaxi,42,val,0.7311827956989247,0.7337930966772794,0.27907021398170967,0.631578947368421
B1,huaxi,42,external,0.5784090909090909,0.4803140743320277,0.053636259212403226,0.5391304347826087
B1,huaxi,123,val,0.7252090800477898,0.7182894496787862,0.261925505493933,0.6451612903225806
B1,huaxi,123,external,0.5528409090909091,0.4431326596547178,0.1170035878603409,0.5470085470085471
B1,liaoning,42,val,0.8080495356037152,0.8677420081825116,0.40718715755934326,0.7555555555555555
B1,liaoning,42,external,0.639849366655255,0.4787215070164997,0.21579226263741577,0.5380116959064327
B1,liaoning,123,val,0.7647058823529412,0.8277317396716384,0.2829605671175097,0.7111111111111111
B1,liaoning,123,external,0.6036745406824146,0.42265570844584077,0.21860178110728792,0.5588235294117647
B1,xiangya,42,val,0.6222222222222222,0.4256198953209638,0.13770607453181927,0.5428571428571428
B1,xiangya,42,external,0.3800995024875622,0.6417863006185724,0.0,0.8170731707317073
B1,xiangya,123,val,0.6708333333333333,0.48805820853872817,0.1983673196268351,0.5573770491803278
B1,xiangya,123,external,0.4651741293532339,0.6526975402261637,0.2168352920067421,0.8271604938271605
Attn,huaxi,42,val,0.7132616487455198,0.6899771954798914,0.403243452644148,0.7096774193548387
Attn,huaxi,42,external,0.5772727272727273,0.45714849221105186,0.0,0.5378151260504201
Attn,huaxi,123,val,0.7586618876941458,0.70179155759717,0.42420801505049993,0.711864406779661
Attn,huaxi,123,external,0.5471590909090909,0.4607433035325302,0.1170035878603409,0.5470085470085471
Attn,liaoning,42,val,0.7894736842105263,0.8361394670544091,0.0,0.6909090909090909
Attn,liaoning,42,external,0.5583704210886683,0.3969684495625524,0.0,0.5207547169811321
Attn,liaoning,123,val,0.7647058823529411,0.8210316185250561,0.2737199309863917,0.6666666666666666
Attn,liaoning,123,external,0.620221385370307,0.4247227981943224,0.14321900064020543,0.4065040650406504
Attn,xiangya,42,val,0.6444444444444445,0.5395031382294986,0.22391714737574003,0.5666666666666667
Attn,xiangya,42,external,0.5875621890547265,0.7194325144069048,0.12371537898307342,0.8076923076923077
Attn,xiangya,123,val,0.6361111111111112,0.5502186165816281,-0.0573775310549247,0.5135135135135135
Attn,xiangya,123,external,0.4597014925373134,0.6631440967206088,0.0,0.8170731707317073
WMA,huaxi,42,val,0.7335722819593786,0.7142232726176658,0.3070489844683393,0.6296296296296297
WMA,huaxi,42,external,0.5875,0.5237070657656324,-0.02405228464604173,0.5137614678899083
WMA,huaxi,123,val,0.7670250896057347,0.7418072998502954,0.41741271322050594,0.7017543859649122
WMA,huaxi,123,external,0.5255681818181819,0.40380418178334637,-0.01648085632718039,0.5263157894736842
WMA,liaoning,42,val,0.7770897832817337,0.8401554310842234,0.5066515075180997,0.6666666666666666
WMA,liaoning,42,external,0.614972041538286,0.43758827235543596,-0.025264883140574804,0.0759493670886076
WMA,liaoning,123,val,0.7770897832817337,0.8322253252143048,0.0,0.0
WMA,liaoning,123,external,0.5539198904484766,0.412287084121678,0.0,0.0
WMA,xiangya,42,val,0.6472222222222223,0.5078462445559941,0.08710327732246503,0.5230769230769231
WMA,xiangya,42,external,0.48756218905472637,0.6709747542271066,0.0,0.8170731707317073
WMA,xiangya,123,val,0.6597222222222222,0.5508196902202657,0.1690308509457033,0.5507246376811594
WMA,xiangya,123,external,0.5890547263681591,0.7573395657139664,0.0,0.8170731707317073
WMA_pat,huaxi,42,val,0.7287933094384708,0.7106655029099525,0.2928245992564049,0.6557377049180327
WMA_pat,huaxi,42,external,0.58125,0.48118432189358945,0.08593589370601203,0.543859649122807
WMA_pat,huaxi,123,val,0.7514934289127837,0.7286462236614206,0.3434710325928735,0.6545454545454545
WMA_pat,huaxi,123,external,0.5460227272727273,0.4355440468066029,0.08593589370601203,0.543859649122807
WMA_pat,liaoning,42,val,0.7647058823529411,0.8213732111390464,-0.1598871782677901,0.6666666666666666
WMA_pat,liaoning,42,external,0.5457035261896611,0.38937052247147297,-0.06390541521015197,0.5058365758754864
WMA_pat,liaoning,123,val,0.7708978328173374,0.8294012660885723,0.2861617460312277,0.6285714285714286
WMA_pat,liaoning,123,external,0.6357411845258473,0.4491355052467936,0.09594462500706835,0.26804123711340205
WMA_pat,xiangya,42,val,0.6388888888888888,0.5001892833153136,0.062017367294604234,0.5277777777777778
WMA_pat,xiangya,42,external,0.4402985074626866,0.6755609510165691,0.0,0.8170731707317073
WMA_pat,xiangya,123,val,0.6166666666666667,0.4323532694908301,0.011822115035531811,0.5205479452054794
WMA_pat,xiangya,123,external,0.42139303482587065,0.6215155107675701,0.0,0.8170731707317073
EMA,huaxi,42,val,0.7228195937873356,0.7119538818856499,0.3859020310633214,0.6896551724137931
EMA,huaxi,42,external,0.5744318181818182,0.4592977461827034,0.013514061940433385,0.5344827586206896
EMA,huaxi,123,val,0.7299880525686977,0.714238751204004,0.3434840149394188,0.6875
EMA,huaxi,123,external,0.5482954545454546,0.4540021182395104,0.0,0.5378151260504201
EMA,liaoning,42,val,0.7739938080495357,0.773063929172777,0.0,0.6909090909090909
EMA,liaoning,42,external,0.5234508729887024,0.3594837421366216,0.024683062076062325,0.5140562248995983
EMA,liaoning,123,val,0.8235294117647058,0.8064893911923379,0.5009339514249774,0.7804878048780488
EMA,liaoning,123,external,0.49537829510441633,0.3568245225806843,-0.022184737094398145,0.3875
EMA,xiangya,42,val,0.6666666666666667,0.6219806846304442,0.0,0.5263157894736842
EMA,xiangya,42,external,0.5253731343283583,0.7435970036439423,0.0,0.8170731707317073
EMA,xiangya,123,val,0.6402777777777777,0.44666373813319205,0.0,0.5263157894736842
EMA,xiangya,123,external,0.3791044776119403,0.6218662912564494,0.0,0.8170731707317073
AUX,huaxi,42,val,0.7252090800477897,0.7194323993677247,0.4331868038586486,0.7213114754098361
AUX,huaxi,42,external,0.5886363636363637,0.4958787868877735,0.10256046030828848,0.5454545454545454
AUX,huaxi,123,val,0.7287933094384706,0.7060745910646917,0.27429978297347535,0.6181818181818182
AUX,huaxi,123,external,0.5306818181818183,0.4416317036848483,0.013514061940433385,0.5344827586206896
AUX,liaoning,42,val,0.761609907120743,0.7759166899118439,0.3856962663899156,0.717948717948718
AUX,liaoning,42,external,0.5389706721442429,0.3664360765104017,0.11914314690210534,0.5026737967914439
AUX,liaoning,123,val,0.7554179566563468,0.8381453054356538,0.29741626587270104,0.723404255319149
AUX,liaoning,123,external,0.6112062079196621,0.42839233412909133,0.22811831569097793,0.5543478260869565
AUX,xiangya,42,val,0.6236111111111112,0.5257979698696232,0.09607689228305229,0.48
AUX,xiangya,42,external,0.5681592039800996,0.7603128799346486,0.21325118507567822,0.8181818181818182
AUX,xiangya,123,val,0.6402777777777777,0.448541877763879,0.0,0.5263157894736842
AUX,xiangya,123,external,0.48009950248756217,0.6568111546931654,0.0,0.8170731707317073
