method,hospital,seed,split,roc,pr,mcc,f1p
WEA_tuned,huaxi,42,val,0.7096774193548386,0.7401539014685918,0.12361284651454937,0.6428571428571429
WEA_tuned,huaxi,42,external,0.45738636363636365,0.35570940632506765,0.1170035878603409,0.5470085470085471
WEA_tuned,huaxi,123,val,0.7252090800477897,0.7096108426125289,0.3859020310633214,0.6896551724137931
WEA_tuned,huaxi,123,external,0.5369318181818182,0.4539129597102633,0.1170035878603409,0.5470085470085471
WEA_tuned,huaxi,2024,val,0.6989247311827956,0.6883665906155905,0.3070489844683393,0.6296296296296297
WEA_tuned,huaxi,2024,external,0.5278409090909091,0.4221478678879392,0.050363935251586264,0.5357142857142857
WEA_tuned,huaxi,3407,val,0.7419354838709676,0.714493793372833,0.46330930891876604,0.7333333333333333
WEA_tuned,huaxi,3407,external,0.5659090909090909,0.4766319074756455,0.08225161211526649,0.5423728813559322
WEA_tuned,huaxi,114514,val,0.7156511350059737,0.6903165059164902,0.3110855084191276,0.6428571428571429
WEA_tuned,huaxi,114514,external,0.5556818181818182,0.4583990988434918,-0.03726931208617384,0.5178571428571429
WEA_tuned,liaoning,42,val,0.7863777089783281,0.8678449843337213,0.5056076519835918,0.5925925925925926
WEA_tuned,liaoning,42,external,0.5494693598082849,0.3767662922748607,0.08514894841654158,0.4246575342465753
WEA_tuned,liaoning,123,val,0.7770897832817337,0.828856547327103,0.19672236884115843,0.7058823529411765
WEA_tuned,liaoning,123,external,0.6371105785689832,0.4577462748891703,0.25728737313564737,0.5649717514124294
WEA_tuned,liaoning,2024,val,0.78328173374613,0.832173957844675,0.38949041885226005,0.7027027027027027
WEA_tuned,liaoning,2024,external,0.6070980257902545,0.43698975038415466,0.1755272717876527,0.45925925925925926
WEA_tuned,liaoning,3407,val,0.7956656346749227,0.851199902197681,0.33126934984520123,0.6842105263157895
WEA_tuned,liaoning,3407,external,0.6003651717448363,0.45382318926447546,0.12191488169291004,0.4264705882352941
WEA_tuned,liaoning,114514,val,0.8080495356037152,0.8451354441538179,0.3856962663899156,0.717948717948718
WEA_tuned,liaoning,114514,external,0.5668150176880064,0.38412950253945166,0.08987566298464315,0.3875968992248062
WEA_tuned,xiangya,42,val,0.6555555555555556,0.5373416318673572,0.10050378152592121,0.5333333333333333
WEA_tuned,xiangya,42,external,0.5597014925373135,0.735639748321096,0.0,0.8170731707317073
WEA_tuned,xiangya,123,val,0.6763888888888888,0.5010857304016539,0.011822115035531811,0.5205479452054794
WEA_tuned,xiangya,123,external,0.38706467661691546,0.6156446723071634,0.0,0.8170731707317073
WEA_tuned,xiangya,2024,val,0.6416666666666667,0.5776533137763884,0.11421148705787475,0.5245901639344263
WEA_tuned,xiangya,2024,external,0.5,0.7096605133548899,0.0,0.8170731707317073
WEA_tuned,xiangya,3407,val,0.6680555555555556,0.5036573228916579,0.10268720616205405,0.5352112676056338
WEA_tuned,xiangya,3407,external,0.33084577114427854,0.6026373079759098,0.0,0.8170731707317073
WEA_tuned,xiangya,114514,val,0.6277777777777778,0.525300368821559,0.2246907807184079,0.5671641791044776
WEA_tuned,xiangya,114514,external,0.4333333333333333,0.6644677172436664,0.0,0.8170731707317073
