method,hospital,seed,split,roc,pr,mcc,f1p,n,neff
B1_mean,huaxi,42,val,0.7311827956989247,0.7337930966772794,0.27907021398170967,0.631578947368421,58,11.999999999999998
B1_mean,huaxi,42,external,0.5784090909090909,0.4803140743320277,0.053636259212403226,0.5391304347826087,87,11.999999999999998
B1_mean,huaxi,123,val,0.7252090800477898,0.7182894496787862,0.261925505493933,0.6451612903225806,58,11.999999999999998
B1_mean,huaxi,123,external,0.5528409090909091,0.4431326596547178,0.1170035878603409,0.5470085470085471,87,11.999999999999998
B1_mean,huaxi,2024,val,0.7455197132616488,0.7232043418775731,0.4126422822122716,0.6909090909090909,58,11.999999999999998
B1_mean,huaxi,2024,external,0.5875,0.46243912816113064,0.053636259212403226,0.5391304347826087,87,11.999999999999998
B1_mean,huaxi,3407,val,0.7216248506571088,0.6881938421676923,0.4446141198869673,0.7301587301587301,58,11.999999999999998
B1_mean,huaxi,3407,external,0.5414772727272728,0.4099491703858185,-0.11712187015042266,0.5172413793103449,87,11.999999999999998
B1_mean,huaxi,114514,val,0.7132616487455197,0.6778065098327353,0.33258447906904054,0.6774193548387096,58,11.999999999999998
B1_mean,huaxi,114514,external,0.5181818181818182,0.4084425919815894,0.0,0.5378151260504201,87,11.999999999999998
B1_mean,liaoning,42,val,0.8080495356037152,0.8677420081825116,0.40718715755934326,0.7555555555555555,36,11.999999999999998
B1_mean,liaoning,42,external,0.639849366655255,0.4787215070164997,0.21579226263741577,0.5380116959064327,196,11.999999999999998
B1_mean,liaoning,123,val,0.7647058823529412,0.8277317396716384,0.2829605671175097,0.7111111111111111,36,11.999999999999998
B1_mean,liaoning,123,external,0.6036745406824146,0.42265570844584077,0.21860178110728792,0.5588235294117647,196,11.999999999999998
B1_mean,liaoning,2024,val,0.7770897832817336,0.8367875017444448,0.38949041885226005,0.7027027027027027,36,11.999999999999998
B1_mean,liaoning,2024,external,0.599908707063791,0.42417396564326604,0.11123934440698982,0.42857142857142855,196,11.999999999999998
B1_mean,liaoning,3407,val,0.7739938080495355,0.8387331258569322,0.2737199309863917,0.6666666666666666,36,11.999999999999998
B1_mean,liaoning,3407,external,0.5865571151432157,0.40919679684735355,0.10441560573083705,0.4,196,11.999999999999998
B1_mean,liaoning,114514,val,0.7956656346749227,0.8557640542894625,0.44272445820433437,0.7368421052631579,36,11.999999999999998
B1_mean,liaoning,114514,external,0.5853018372703411,0.41064054840326497,0.24701271601636057,0.5487804878048781,196,11.999999999999998
B1_mean,xiangya,42,val,0.6222222222222222,0.4256198953209638,0.13770607453181927,0.5428571428571428,56,11.999999999999998
B1_mean,xiangya,42,external,0.3800995024875622,0.6417863006185724,0.0,0.8170731707317073,97,11.999999999999998
B1_mean,xiangya,123,val,0.6708333333333333,0.48805820853872817,0.1983673196268351,0.5573770491803278,56,11.999999999999998
B1_mean,xiangya,123,external,0.4651741293532339,0.6526975402261637,0.2168352920067421,0.8271604938271605,97,11.999999999999998
B1_mean,xiangya,2024,val,0.7194444444444444,0.6006089840135893,0.20759971844307282,0.5625,56,11.999999999999998
B1_mean,xiangya,2024,external,0.44378109452736314,0.6329229820129907,-0.06829479558851913,0.8098159509202454,97,11.999999999999998
B1_mean,xiangya,3407,val,0.6333333333333333,0.5148001112528189,0.18090680674665816,0.5538461538461539,56,11.999999999999998
B1_mean,xiangya,3407,external,0.6338308457711442,0.7737409899586971,-0.0970904292567502,0.8024691358024691,97,11.999999999999998
B1_mean,xiangya,114514,val,0.663888888888889,0.4862077827199647,0.062017367294604234,0.5277777777777778,56,11.999999999999998
B1_mean,xiangya,114514,external,0.3427860696517413,0.5995266885765371,0.0,0.8170731707317073,97,11.999999999999998
Full_broadcast,huaxi,42,val,0.7072879330943848,0.6961832613074326,0.28520199881926267,0.6440677966101694,58,11.996898650438107
Full_broadcast,huaxi,42,external,0.55625,0.44842167377801573,0.14414999403128945,0.5517241379310345,87,11.995695084110858
Full_broadcast,huaxi,123,val,0.7252090800477896,0.7189260849591603,0.3434840149394188,0.6875,58,11.997391063035062
Full_broadcast,huaxi,123,external,0.55625,0.45719254075051563,0.0,0.5378151260504201,87,11.995981867181849
Full_broadcast,huaxi,2024,val,0.7192353643966548,0.7184684880660757,0.31660692951015534,0.6551724137931034,58,11.997800648742224
Full_broadcast,huaxi,2024,external,0.5880681818181818,0.4846713147830216,0.053636259212403226,0.5391304347826087,87,11.998195524697827
Full_broadcast,huaxi,3407,val,0.7335722819593787,0.7108441673778989,0.36300570155752676,0.6885245901639344,58,11.99541101297944
Full_broadcast,huaxi,3407,external,0.5585227272727272,0.43899104085036633,0.013514061940433385,0.5344827586206896,87,11.993380100222765
Full_broadcast,huaxi,114514,val,0.7264038231780167,0.7156116484169839,0.31660692951015534,0.6551724137931034,58,11.995749814023954
Full_broadcast,huaxi,114514,external,0.5505681818181818,0.4385987887490618,-0.07460614881547928,0.5132743362831859,87,11.994371346059019
Full_broadcast,liaoning,42,val,0.78328173374613,0.8404571791976059,0.0,0.6909090909090909,36,11.997777487065669
Full_broadcast,liaoning,42,external,0.5600821636425881,0.3880296800876046,-0.030837770436772015,0.5116279069767442,196,11.997355621075332
Full_broadcast,liaoning,123,val,0.7863777089783281,0.856836362252352,0.4623989755334915,0.6206896551724138,36,11.999050958728258
Full_broadcast,liaoning,123,external,0.5218532466050441,0.35504730764432424,-0.010201991846370719,0.24299065420560748,196,11.99904547339402
Full_broadcast,liaoning,2024,val,0.7894736842105263,0.8428262136719036,0.27541131637762184,0.6976744186046512,36,11.99920778057298
Full_broadcast,liaoning,2024,external,0.572977290882118,0.38843335116601924,0.15021063957343406,0.5314009661835749,196,11.999244849569124
Full_broadcast,liaoning,3407,val,0.7647058823529411,0.8365748465991105,-0.1598871782677901,0.6666666666666666,36,11.998428733828694
Full_broadcast,liaoning,3407,external,0.5138651146867511,0.34687324989632373,-0.08213079764993551,0.5114503816793893,196,11.997947065803606
Full_broadcast,liaoning,114514,val,0.7894736842105263,0.8682918414709893,0.15737789507292677,0.6511627906976745,36,11.998500783803909
Full_broadcast,liaoning,114514,external,0.5558598653429191,0.3765208886485085,0.15537668877729297,0.5235602094240838,196,11.99830424182116
Full_broadcast,xiangya,42,val,0.6666666666666666,0.5623859621675025,0.0,0.5263157894736842,56,11.997570809352968
Full_broadcast,xiangya,42,external,0.6144278606965173,0.7897868873852971,0.0,0.8170731707317073,97,11.996829100812132
Full_broadcast,xiangya,123,val,0.6791666666666666,0.5547150485194452,0.16789392295386976,0.5423728813559322,56,11.99868712088647
Full_broadcast,xiangya,123,external,0.47562189054726367,0.6797879942643406,0.14663652768813604,0.8176100628930818,97,11.997705637340355
Full_broadcast,xiangya,2024,val,0.6402777777777777,0.45524341510799593,0.14344382763731175,0.5405405405405406,56,11.99748900620477
Full_broadcast,xiangya,2024,external,0.3975124378109452,0.6147579009820112,0.0,0.8170731707317073,97,11.99759242635288
Full_broadcast,xiangya,3407,val,0.6777777777777777,0.4938105243459187,0.27359422722270776,0.5862068965517241,56,11.997206409712671
Full_broadcast,xiangya,3407,external,0.4472636815920398,0.6664773646391078,0.01336391441326061,0.7974683544303798,97,11.997071963787683
Full_broadcast,xiangya,114514,val,0.648611111111111,0.45134865557829684,0.0,0.5263157894736842,56,11.998264791544743
Full_broadcast,xiangya,114514,external,0.35422885572139307,0.625418955070705,0.0,0.8170731707317073,97,11.99803101952907
N12_maxp,huaxi,42,val,0.6941457586618877,0.6915256071836651,0.2686242191525698,0.5882352941176471,58,1.0
N12_maxp,huaxi,42,external,0.5045454545454546,0.4149729584264318,-0.08116412559294567,0.4752475247524752,87,1.0
N12_maxp,huaxi,123,val,0.7025089605734767,0.6700545365590849,0.3410353349240069,0.5957446808510638,58,1.0
N12_maxp,huaxi,123,external,0.5261363636363636,0.37638626233728334,0.024145418007893455,0.3939393939393939,87,1.0
N12_maxp,huaxi,2024,val,0.6965352449223416,0.6466692457320855,0.17006161511431628,0.6388888888888888,58,1.0
