method,hospital,seed,split,roc,pr,mcc,f1p,neff
N12_uamp10,huaxi,42,val,0.7096774193548387,0.6976054100821902,0.21569899070364404,0.6101694915254238,11.823903536765583
N12_uamp10,huaxi,42,external,0.5596590909090909,0.4689958155740107,0.08225161211526649,0.5423728813559322,11.713666104679115
N12_uamp10,huaxi,123,val,0.6929510155316606,0.6844954591322041,0.23236957129290886,0.5217391304347826,11.21012208585901
N12_uamp10,huaxi,123,external,0.5636363636363636,0.42918106248860105,-0.09772991539767321,0.13636363636363635,11.273282576631239
N12_uamp10,huaxi,2024,val,0.7072879330943848,0.6961279591346703,0.3110855084191276,0.6428571428571429,11.832669419580647
N12_uamp10,huaxi,2024,external,0.5835227272727272,0.4599682908679216,0.050363935251586264,0.5357142857142857,11.829863013713345
N12_uamp10,huaxi,3407,val,0.7431302270011947,0.7256991712072232,0.41540485561265456,0.71875,11.788558282820842
N12_uamp10,huaxi,3407,external,0.5460227272727273,0.46679496001326826,0.0,0.5378151260504201,11.762770680879715
N12_uamp10,huaxi,114514,val,0.6977299880525687,0.7064318627470867,0.23268730953181957,0.56,11.499601402771301
N12_uamp10,huaxi,114514,external,0.48352272727272727,0.3958388450094672,-0.04052216004293767,0.5046728971962616,11.609115371560142
N12_uamp10,liaoning,42,val,0.7770897832817337,0.8263238503169852,0.0,0.6909090909090909,11.694176835204507
N12_uamp10,liaoning,42,external,0.5832477462056375,0.3916162170459102,0.00696055467683392,0.5173745173745173,11.716512767976662
N12_uamp10,liaoning,123,val,0.7708978328173375,0.83407146370301,0.32348719116573565,0.7346938775510204,11.891362813277127
N12_uamp10,liaoning,123,external,0.5571151432157937,0.3781534409822974,0.127492726578208,0.5238095238095238,11.888503157743989
N12_uamp10,liaoning,2024,val,0.7739938080495357,0.8414444496208875,0.2726602520414434,0.6829268292682927,11.907078993870222
N12_uamp10,liaoning,2024,external,0.5891817870592262,0.4001421454841445,0.23580161841366767,0.5608465608465608,11.914847956670195
N12_uamp10,liaoning,3407,val,0.7956656346749227,0.8701041975769741,0.29741626587270104,0.723404255319149,11.744908375715646
N12_uamp10,liaoning,3407,external,0.577541937692571,0.3965937637430391,0.1676174675295079,0.5402843601895735,11.772584975005604
N12_uamp10,liaoning,114514,val,0.7894736842105263,0.8519731212778905,0.3856962663899156,0.717948717948718,11.841372723643438
N12_uamp10,liaoning,114514,external,0.589067670888965,0.3990925688378261,0.09586910078868098,0.3969465648854962,11.821076507011913
N12_uamp10,xiangya,42,val,0.6666666666666666,0.5444464752962006,0.2246907807184079,0.5671641791044776,11.800571158544216
N12_uamp10,xiangya,42,external,0.44228855721393034,0.6715394435052742,0.0,0.8170731707317073,11.748402522033977
N12_uamp10,xiangya,123,val,0.6388888888888888,0.4976010564917214,0.11399759467612823,0.5172413793103449,11.903679421030395
N12_uamp10,xiangya,123,external,0.48407960199004973,0.6748457024921043,0.10595674999085199,0.810126582278481,11.897430904968697
N12_uamp10,xiangya,2024,val,0.6861111111111111,0.4765721390490875,0.0,0.5263157894736842,11.910447478220155
N12_uamp10,xiangya,2024,external,0.41144278606965173,0.6241445332262104,0.0,0.8170731707317073,11.896687190599623
N12_uamp10,xiangya,3407,val,0.6583333333333333,0.4717423116503562,0.19778870132131,0.5588235294117647,11.898398087049388
N12_uamp10,xiangya,3407,external,0.491044776119403,0.6791382427088225,0.0,0.8170731707317073,11.855132533858242
N12_uamp10,xiangya,114514,val,0.6361111111111111,0.4795273869273853,0.0,0.5263157894736842,11.742031464616515
N12_uamp10,xiangya,114514,external,0.35721393034825877,0.614318418570642,0.0,0.8170731707317073,11.666678429174206
